Discovered_Channel_Name,Original_Niche,reason,Original_Tier
Benny Johnson,Politics - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel centers on political news and conservative commentary, indicating a mismatch in both format and niche.",2
PEEPER,Celebrity Gossip - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel is centered around celebrity gossip and drama, indicating a significant niche mismatch despite some overlapping keywords.",2
Raven Schwam-Curtis ,Political Commentary - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel centers on political analysis and social justice, indicating a mismatch in both format and niche.",2
Thinking What,Political Commentary - Talking-Head Analysis,"The Seed channel focuses on societal and cultural commentary, while the Candidate channel is centered around political commentary, indicating a format mismatch and different niche focus.",2
Timcast,Politics - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel is centered on political analysis and commentary, indicating a format mismatch and differing primary topics.",2
TMR,Media Critique - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel emphasizes political commentary and critiques, indicating a format mismatch in intent and a niche divergence.",2
The Royal Spotlight,Celebrity Gossip - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel is centered on celebrity gossip and entertainment news, indicating a significant niche mismatch.",2
Dark Waters,Political News - Talking-Head Analysis,"The Seed channel focuses on cultural and societal commentary while the Candidate channel is centered on conservative political news and analysis, indicating a mismatch in both format and niche.",2
Misha Petrov,Social Commentary - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel emphasizes political commentary and cultural analysis, leading to a format mismatch and differing niche focus.",2
Tom Nicholas,Politics - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel centers on political analysis and current affairs, indicating a mismatch in both format and niche.",2
The Young Turks,Politics - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel primarily covers political news and analysis, indicating a mismatch in both format and niche.",2
The Daily Show,News and Politics - Satirical Commentary,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel is centered on political satire and news analysis, indicating a format mismatch and differing primary topics.",2
The Rational National,Political Commentary - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel is centered on political commentary and media criticism, indicating a mismatch in both format and niche.",2
Then & Now,Political Commentary - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel centers on political commentary and historical analysis, resulting in a format mismatch and differing niches.",2
Tucker Carlson Network,Politics - Talking-Head Analysis,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel is centered on political analysis and conservative viewpoints, indicating a mismatch in both format and niche.",2
