video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
BeQ05enH6JU,The Future of Death | Incognito Mode | WIRED,"The ability to communicate with the dead. Immortality. Conquering death and breaking down the impenetrable barrier between the living and departed: it’s something humans have long strived for. Are advancements in technology bringing us closer to that dream? Today, WIRED breaks down the ways technology is reshaping the afterlife—and what it means to be dead.    Director: Efrat Kashai  Director of Photography: Chris Eustache  Editor: A.J. Schultz  Host: Andrew Couts  Line Producer: Jamie Rasmussen  Associate Producer: Paul Gulyas  Production Manager: Peter Brunette  Production Coordinator: Rhyan Lark  Camera Operator: Jeremy Harris  Gaffer: Salif Soumahoro  Sound Mixer: Sean Paulsen  Production Assistant: Sonia Butt; Malaia Simms  Assistant Editor: Britt Bernstein  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-31 16:00:02,588,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
f23ca4YSAXI,EJAE on KPop Demon Hunters and Her Journey to Success | The Big Interview | WIRED,"WIRED Senior Culture Editor Manisha Krishnan sits down with singer/songwriter EJAE, an industry vet who's rocketed to a new tier of success on the back of her performance as Rumi and songwriting for Netflix's runaway cultural sensation, ""KPop Demon Hunters.""    Director: Lisandro Perez-Rey  Director of Photography: Chris Eustache  Editor: Michael Park  Talent: Ejae  Host: Manisha Krishnan  Line Producer: Jamie Rasmussen  Associate Producer: Brandon White   Production Manager: Peter Brunette  Production Coordinator: Rhyan Lark  Camera Operator: Jeremy Harris  Gaffer: Salif Soumahoro  Sound Mixer: Z Jadwick  Production Assistant: Caleb Clark  Post Production Supervisor: Christian Olguin  Post Production Coordinator: Stella Shortino  Supervising Editor: Eduardo Araujo  Assistant Editor: Billy Ward  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-30 10:00:02,1106,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
M_DCrfVp3uU,Why Conspiracy Theories Took Hold When Charlie Kirk Died | WIRED,"Conspiracy theories exploded online in the hours and days after Charlie Kirk’s murder. WIRED reporter David Gilbert hosts a discussion Nina Jankowics, author of “How To Lose The Information War” and Boston University Professor Joan Donovan to investigate why conspiracy theories around Kirk’s death are so potent, what they have in common with past assassination conspiracies, and how they spread so rapidly. This is WIRED: Disinfonation.  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-29 16:00:14,1304,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
i61jkjPtMuw,Historian Answers Folklore Questions | Tech Support | WIRED,"Medieval historian Dr. Juliette Wood joins WIRED to answer the internet's burning questions about folklore. How did unicorns become a symbol of little girl cuteness? Are mermaids and sirens the same? Has anyone ever actually found a razor blade in their Halloween candy? What are the origins of Slenderman? How did the legend of the Mothman come about? How are Sasquatch, Bigfoot, Yeti and the Abominable Snowman related? Why do so many famous fairytales have bleak endings if they’re meant for children? Answers to these questions and many more await on Folklore Support.    0:00 Folklore Support  0:17 Unicorns  2:30 Lil guys  3:15 Magic wands  4:16 Memes as “internet folklore”  4:33 Halloween candy horror stories  5:25 Mermaids and Sirens  6:43 Team Edward vs Team Jacob  7:59 Mothman  9:20 The Cottingley Fairies photographs  10:20 Wendigo  11:07 Vlad the Impaler and Dracula  12:09 Red Rover  12:51 Sasquatch, Bigfoot, Yeti and the Abominable Snowman  13:50 Fairy shrinkage  14:57 Zombies, man.  16:35 Nessy  18:08 The Tooth Fairy  18:53 Lucky rabbit’s foot  20:00 Slenderman: Origins  21:17 Full moons and werewolves  22:02 The B-tier creatures  23:08 Women and witchcraft  23:55 Twilight vampires  24:50 The Grim Reaper  25:19 The Brothers Grimm  26:39 Famous fairy tales with bleak endings  27:49 Banshees  28:47 Gremlins in the engines  29:17 Devil and pitchfork  29:46 The proper burial tree to avoid a fae snatching  30:25 The Little Mermaid  31:31 Just in case, ya know    Director: Lauren Zeitoun  Director of Photography: Simon Van Parijs  Editor: Paul Tael; Alex Mechanik  Expert: Juliette Wood  Line Producer: Jamie Rasmussen  Associate Producer: Paul Gulyas  Production Manager: Peter Brunette  Production Coordinator: Rhyan Lark  Senior Casting Producer: Nicole Ford  Camera Operator: Davide Bianco  Gaffer: Jake Newell  Sound Mixer: Sean Simpson  Production Assistant: Grace OConnor  Post Production Supervisor: Christian Olguin  Supervising Editor: Eduardo Araujo  Additional Editor: Sam DiVito  Assistant Editor: Andy Morell  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-28 16:00:05,1940,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
TdmF4kKEqBQ,Language Expert Answers Word Origin Questions | Tech Support | WIRED,"University of Cambridge Research Fellow Dr. Stephen Turton joins WIRED to answer the internet's burning questions about the logic (and many quirks) of the English language. Why are so many English words not pronounced the way they're spelled? Why is the plural of 'child' not 'childs' but 'children?' 'Foot' becomes 'feet' but 'boot' does't pluralize to 'beet?' How do we know what Old English sounded like? Why is the letter R pronounced so different across languages? What does a pineapple have to do with either pines OR apples? Answers to these questions and many more await on Etymology Support.    0:00 English Etymology Support  0:14 Foot Feet but not Boot Beet? Why?  1:17 Whoops  1:52 Get a clue  2:18 Why Ghoti = Fish  3:48 Who What Where When Why  4:49 Salary  5:11 What's going on with the word ""child?""  5:45 Deadline  6:11 Why are there multiple words that mean the same thing?  7:07 TUVWX…but Y?  7:58 Formal You  8:59 It’s Raining Cats and Dogs  9:34 Does language alter thinking?  11:40 Break a leg!  11:55 How do we know what old English sounds like?  13:01 Dictionary approved new words  13:45 Bring back sardine’s whiskers I say  14:16 Pineapples, man  14:49 Thou and hath  15:46 Funny collective nouns  16:20 Ok  16:53 ""But soft! what light through yonder window breaks?""  17:36 Quarantine  17:57 How meanings change  19:08 Meet your meat words  19:58 English pronunciation  21:21 Common sayings between languages  22:00 💪  22:57 Homonyms  23:29 How etymologists do what they do  24:21 ""Did youreet?""  25:00 Why is the letter R pronounced so differently in each language?    Director: Lauren Zeitoun  Director of Photography: Davide Bianco  Editor: Alex Mechanik  Expert: Stephen Turton  Line Producer: Jamie Rasmussen  Associate Producer: Paul Gulyas  Production Manager: Peter Brunette  Production Coordinator: Rhyan Lark  Supervising Casting Producer: Thomas Giglio  Camera Operator: Ashley Raim  Gaffer: Jake Newell  Sound Mixer: Mark Hennessey  Production Assistant: Grace OConnor  Post Production Supervisor: Christian Olguin  Supervising Editor: Eduardo Araujo  Additional Editor: Sam DiVito  Assistant Editor: Justin Symonds  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-21 16:00:10,1546,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
izcWjajssRY,Following Your Stolen Data Through The Dark Web | Incognito Mode | WIRED,"People and companies get hacked all the time. Corporate secrets, credit card numbers, password to your email, your medical information—even your Netflix login might get stolen. But where does that data go once it's been stolen? Today, WIRED's Andrew Couts takes a deep dive into the hacked data economy.    Director: Efrat Kashai  Director of Photography: Mar Alfonso  Editor: Matthew Colby  Host: Andrew Couts  Guest: Troy Hunt  Camera Operator: Jeremy Harris  Gaffer: Salif Soumahoro  Sound Mixer: Sean Paulsen  Production Assistant: Shanti Cuizon-Burden  Post Production Supervisor: Christian Olguin  Supervising Editor: Eduardo Araujo  Assistant Editor: Andy Morell  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-16 16:00:12,733,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
lOi5wUIrCVc,Charlie Hunnam Answers The Web's Most Searched Questions | WIRED,"Charlie Hunnam visits WIRED to answer his most searched for questions on Google. Does Charlie Hunnam have tattoos? Does he love motorcylces given his time starring on ""Sons of Anarchy?"" Does Charlie Hunnam know martial arts? Why is Charlie Hunnam playing Ed Gein on Netflix's Monster: The Ed Gein Story? Answers to these questions and many more await on the WIRED Autocomplete Interview of Charlie Hunnam.    Director: Justin Wolfson   Director of Photography: Kevin Dynia  Editor: Richard Trammell  Talent: Charlie Hunnam  Line Producer: Jamie Rasmussen  Associate Producer: Brandon White   Production Manager: Peter Brunette  Production Coordinator: Rhyan Lark  Talent Booker: Mica Medoff  Camera Operator: Chris Eustache  Sound Mixer: Sean Paulsen  Production Assistant: Shanti Cuizon-Burden  Post Production Supervisor: Christian Olguin  Post Production Coordinator: Stella Shortino  Supervising Editor: Eduardo Araujo  Additional Editor: Sara Rao  Assistant Editor: Billy Ward  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-13 16:00:14,495,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
JQ20ilE5DtA,I Cheated At Poker By Hacking A Casino Card Shuffling Machine | Hacklab | WIRED,"To win big at Texas Hold-Em, a player needs considerable skill, no small amount of luck...and it wouldn't hurt to know what every other player is holding, either. WIRED's Andy Greenberg teams up with casino cheating expert Sal Piacente and hacker/researcher Joseph Tartaro to exploit an automatic card shuffler used in casinos everywhere to engineer a big win. This is Hacklab: I Cheated At Poker By Hacking A Casino Card Shuffling Machine.    Director: Lisandro Perez-Rey  Director of Photography: Charlie Jordan  Editor: A.J. Schultz  Poker Players: Dee Piacente; Elle Drane; Fernando Fernandez  Host: Andy Greenberg  Experts: Sal Piacente; Joseph Tartaro  Writers: Andy Greenberg; Lisandro Perez-Rey  Line Producer: Jamie Rasmussen  Associate Producer: Brandon White   Production Manager: Peter Brunette  Production Coordinator: Rhyan Lark  Camera Operator: Jake Kinney  Gaffer: Nicholas Villafuerte  Sound Mixer: Rado Stefanov  Production Assistant: Abby Devine   Assistant Editor: Britt Bernstein  Card Designer: Erica Schultz  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-10 16:00:03,1401,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
l1umGST5UH8,Gordon Ramsay Answers The Web's Most Searched Questions | WIRED,"Gordon Ramsay visits WIRED to serve us some answers to his most searched for questions on Google. Who inspired Gordon Ramsay? Is Gordan Ramsay a Michelin star chef? Is Gordon Ramsay going vegan? Who is Gordon Ramsay’s favorite chef? Can Gordon Ramsay bake? Answers to these questions and plenty more await on the WIRED Autocomplete Interview of Gordon Ramsay.    ""Knife Edge: Chasing Michelin Stars"" premieres globally October 10 on Apple TV+. Executive Produced by Gordon Ramsay and hosted by Jesse Burgess, the series features the world’s best chefs as they compete for the ultimate culinary accolade: a Michelin Star.  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-09 16:00:08,532,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
uD9ETC80HDA,Where ICE Has Taken The Most People | On The Grid | WIRED,"Immigration enforcement has become a dominant theme of the second Trump administration. Since January 2025, Immigration & Customs Enforcement (ICE) has arrested over 100,000 people—doubling the pace of the final year of Joe Biden's presidency. WIRED reporter Vittoria Elliott tracked where the most migrants are being arrested, where exactly ICE is taking them, and where they're deported to. This is Immigration & Customs Enforcement, On The Grid.    Director: Lisandro Perez-Rey  Director of Photography: Charlie Jordan  Host: Vittoria Elliott  Line Producer: Jamie Rasmussen  Associate Producer: Brandon White  Production Manager: Peter Brunette  Production Coordinator: Rhyan Lark  Gaffer: Chris Eustache  Sound Mixer: Sean Paulsen  Production Assistant: Ryan Coppola  Writer: Paul Gulyas  Researcher: Abrielle Ramirez  Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7   Listen to the Get WIRED podcast  ►► https://link.chtbl.com/wired-ytc-desc  Want more WIRED? Get the magazine ►► https://subscribe.wired.com/subscribe/splits/wired/WIR_YouTube?source=EDT_WIR_YouTube_0_Video_Description_ZZ    Follow WIRED:  Instagram ►►https://instagram.com/wired  Twitter ►►http://www.twitter.com/wired  Facebook ►►https://www.facebook.com/wired  Tik Tok  ►►https://www.tiktok.com/@wired    Get more incredible stories on science and tech with our daily newsletter: https://wrd.cm/DailyYT    Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV.     ABOUT WIRED  WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.",2025-10-08 16:00:11,780,False,Wired,UCftwRNsjfRo08xYE31tkiyw,WIRED is where tomorrow is realized.
