Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Niche,Discovered_Keywords,Level,Timestamp,Seed_Keywords,Similarity_Score
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,https://www.youtube.com/@thediaryofaceo,13200000,Self-improvement and mindset motivation,"goal setting strategies, mindset transformation techniques, memory enhancement hacks, brain rewiring methods, relationship building insights, productivity improvement tips, motivational storytelling, interview format discussions, podcast-style conversations, educational deep-dives",1,2025-10-27T13:22:07.986975,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.866
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,ExpHub - Prashant Kirad,UCgoyBmLOMNWmsiVkj-MezyQ,https://www.youtube.com/@exphub,10500000,Motivational guidance for students,"overcoming addiction strategies, brain health improvement, teenage distraction management, student success mindset, focus enhancement techniques, scientific self-improvement, motivational storytelling, educational challenge series, narrative video essays, scientific explanation videos",1,2025-10-27T13:22:22.687658,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.816
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,GREAT IDEAS GREAT LIFE,UCurYxozQbvKn-oNUxNJh45Q,https://www.youtube.com/@greatideasgreatlifeindia,7170000,Self-improvement documentaries and insights,"financial success strategies, rapid learning techniques, superintelligence insights, entrepreneurial growth stories, personal goal achievement, debt management advice, documentary storytelling, interview format discussions, narrative insights, cinematic documentary style",1,2025-10-27T13:22:36.300913,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.825
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Aditya Ranjan Talks,UC1Qf-G1tSfsDmVLehoSoSog,https://www.youtube.com/@adityaranjantalks,4590000,Government exam preparation and motivation,"ssc exam preparation, government job motivation, exam strategy planning, competitive exam success, ssc cpo insights, exam topper stories, motivational storytelling, interview format discussions, study strategy breakdowns, motivational video series",1,2025-10-27T13:23:05.329993,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.75
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,SeeKen,UCfhbydY40P2Lli9HuBz8cdA,https://www.youtube.com/@seeken,4450000,Self-improvement book summaries,"mindfulness book summaries, personal growth insights, brain training techniques, dopamine reset strategies, visualization exercises, emotional intelligence development, animated book summaries, motivational storytelling, challenge-based learning, narrative book reviews",1,2025-10-27T13:23:32.465397,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.787
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Raw Talks With VK,UCEW_Fg9lQ2VaS7DLVma01Cg,https://www.youtube.com/@rawtalkswithvk,1930000,Entrepreneurship insights and advice podcast,"entrepreneurial mindset development, startup success strategies, business growth insights, innovation and leadership, financial planning advice, market disruption analysis, podcast-style interviews, motivational storytelling, educational discussions, expert guest panels",1,2025-10-27T13:24:00.215434,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.854
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Almost Everything,UCqdpvuKq4bShO1cJoFX6zpQ,https://www.youtube.com/@almosteverything,1780000,Self-improvement and financial education,"mindset growth strategies, financial freedom planning, confidence building techniques, investment education tamil, life skills development, financial habits analysis, motivational storytelling, documentary style presentations, interview format discussions, educational deep-dives",1,2025-10-27T13:24:16.189218,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.855
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Collin The Chad,UClvdIQwkgwMFwyjsDZoi-4g,https://www.youtube.com/@intellectualchad,725000,Self-improvement and study motivation,"confidence building techniques, study motivation strategies, brain focus improvement, skill learning hacks, exam preparation tips, self-improvement for students, motivational storytelling, documentary style presentations, educational deep-dives, narrative-driven guides",1,2025-10-27T13:25:25.307724,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.826
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,TED-Ed Student Talks,UCskU_g7t6b5ecsA1CTS3y9Q,https://www.youtube.com/@tededstudenttalks,123000,Youth idea development and presentation,"youth public speaking, idea development workshops, student leadership skills, confidence building programs, youth empowerment talks, creative problem solving, interview format discussions, storytelling presentations, motivational speech formats, educational panel discussions",1,2025-10-27T13:26:51.219812,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.763
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,The Art Of Personal Growth,UCGauEaTrbtomP7JmW8hmQWA,https://www.youtube.com/@theartofpersonalgrowth,82300,Personal development and self-improvement,"moral decision making, cognitive bias analysis, personal growth strategies, ethical dilemma exploration, self-improvement techniques, life lesson storytelling, motivational video essays, philosophical deep-dives, narrative-driven insights, educational video series",1,2025-10-27T13:27:07.296163,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.832
