Seed_Channel_Name,Seed_Niche,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Similarity_Score,Is_Competitor,Reason
Ali Abdaal,Productivity strategies and self-improvement,Self improvement | Money | Mindset ,Personal growth and mindset motivation,16300,0.94,Yes,Both channels focus on personal growth with a self-improvement and motivational intent.
Ali Abdaal,Productivity strategies and self-improvement,The Diary Of A CEO,Self-improvement and mindset motivation,13200000,0.94,Yes,Both channels focus on self-improvement with similar motivational and educational intent.
Ali Abdaal,Productivity strategies and self-improvement,Collin The Chad,Self-improvement and study motivation,725000,0.92,Yes,Both channels focus on self-improvement with similar educational and motivational intent.
Ali Abdaal,Productivity strategies and self-improvement,Self Improvement,Entrepreneurial mindset and self-improvement,11600,0.88,Yes,Both channels focus on self-improvement with an educational intent for similar audiences.
Ali Abdaal,Productivity strategies and self-improvement,SeeKen,Self-improvement book summaries,4450000,0.88,Yes,"Both channels focus on self-improvement with educational intent, targeting similar audiences."
Ali Abdaal,Productivity strategies and self-improvement,The Art Of Personal Growth,Personal development and self-improvement,82300,0.88,Yes,"Both channels focus on self-improvement with educational intent, targeting similar audiences."
Ali Abdaal,Productivity strategies and self-improvement,Almost Everything,Self-improvement and financial education,1780000,0.855,Yes,"Both channels focus on self-improvement with an educational intent, serving similar audiences."
Ali Abdaal,Productivity strategies and self-improvement,Raw Talks With VK,Entrepreneurship insights and advice podcast,1930000,0.854,No,"Seed focuses on productivity/self-improvement, Candidate on entrepreneurship insights, differing audience needs."
Ali Abdaal,Productivity strategies and self-improvement,GREAT IDEAS GREAT LIFE,Self-improvement documentaries and insights,7170000,0.825,Yes,"Both channels focus on self-improvement with educational intent, serving similar audience needs."
Ali Abdaal,Productivity strategies and self-improvement,ExpHub - Prashant Kirad,Motivational guidance for students,10500000,0.816,No,"Seed focuses on productivity/self-improvement, Candidate on student motivation, serving different needs."
Ali Abdaal,Productivity strategies and self-improvement,Travel With Business,Business education and entrepreneurship tips,70700,0.767,No,"Seed focuses on productivity/self-improvement, Candidate on business/entrepreneurship education, different niches."
Ali Abdaal,Productivity strategies and self-improvement,TED-Ed Student Talks,Youth idea development and presentation,123000,0.763,No,"Seed focuses on productivity/self-improvement, Candidate on youth presentations, differing audience needs."
Ali Abdaal,Productivity strategies and self-improvement,Aditya Ranjan Talks,Government exam preparation and motivation,4590000,0.75,No,Niches indicate different primary languages and target audiences (English productivity vs. Hindi exam prep).
Johnny Harris,Global storytelling and analysis,Map & Myth,Geopolitical storytelling and analysis,60100,0.92,Yes,"Both channels focus on geopolitical storytelling and analysis, serving similar audience needs."
Johnny Harris,Global storytelling and analysis,fern,Global events and historical analysis,4040000,0.915,Yes,Both channels focus on global events with storytelling and analysis intent.
Johnny Harris,Global storytelling and analysis,Narratives,Journalistic analysis of global issues,17500,0.866,Yes,Both channels focus on global issues with a journalistic analysis and storytelling intent.
Johnny Harris,Global storytelling and analysis,Story Bucket,Geopolitical analysis of Bangladesh,83200,0.865,No,"Seed is global storytelling, Candidate focuses on Bangladesh-specific geopolitical analysis."
Johnny Harris,Global storytelling and analysis,Decoding Geopolitics Podcast with Dominik Presl,Geopolitical analysis and insights,103000,0.86,Yes,Both channels focus on geopolitical analysis with a storytelling and educational intent.
Johnny Harris,Global storytelling and analysis,The Global Narrative,Global politics and current events analysis,48300,0.86,Yes,Both channels focus on global analysis with storytelling and news analysis intent.
Johnny Harris,Global storytelling and analysis,Geopolitical Economy Report,Geopolitical news and analysis,635000,0.86,Yes,Both channels focus on geopolitical analysis with a storytelling and news analysis intent.
Johnny Harris,Global storytelling and analysis,The New York Times,Independent journalism and news analysis,4870000,0.857,No,"Seed focuses on storytelling, Candidate on journalism/news, serving different audience needs."
Johnny Harris,Global storytelling and analysis,Think School,Business and geopolitics education,4760000,0.842,No,"Seed focuses on storytelling, Candidate on education, serving different audience needs."
Johnny Harris,Global storytelling and analysis,BingeWorthy Documentaries,Thought-provoking documentaries and analysis,81000,0.814,Yes,Both channels focus on global storytelling and analysis with similar documentary intent.
Johnny Harris,Global storytelling and analysis,Dr. Roy Casagranda,World history and politics analysis,486000,0.811,Yes,Both channels focus on global analysis with storytelling and educational intent.
Johnny Harris,Global storytelling and analysis,Our Stories,Documentaries on everyday professions,930000,0.788,No,"Seed focuses on global storytelling, Candidate on profession documentaries, differing core topics."
Johnny Harris,Global storytelling and analysis,SAMA 6TVNEWS,Local and global news coverage,21300,0.783,No,"Seed focuses on storytelling/analysis, Candidate is news coverage, differing in intent and format."
Johnny Harris,Global storytelling and analysis,MagnatesMedia,Business storytelling and analysis,1830000,0.777,No,"Seed focuses on global analysis, Candidate on business, serving different storytelling niches."
Johnny Harris,Global storytelling and analysis,Global Investigative Journalism Network,Investigative journalism training and resources,13200,0.77,No,"Seed is storytelling/analysis, Candidate focuses on journalism training/resources, differing intents."
Johnny Harris,Global storytelling and analysis,Nitish Rajput,Indian societal issues analysis and empowerment,7840000,0.768,No,"Seed is global storytelling, Candidate focuses on Indian societal issues, differing niches."
