Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Video_Count,Discovered_Niche,Discovered_Country,LLM_Score,Embedding_Score,Discovered_Channel_Description,Discovered_Keywords,Seed_Keywords,Level,Timestamp
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,MENTE IMPERTURBÁVEL – Projeto Cão Pastor,UCOPyWPkutJKy_ilVjIGzQMA,https://www.youtube.com/@caveiracadar09,233000,1269,Mentality Development - Educational Tutorials,BR,0.54,0.716,"Aqui você aprende direto com um CAVEIRA do BOPE o que é necessário para desenvolver uma mentalidade imperturbável e adotar hábitos de segurança que fazem a diferença. Meu objetivo é ensinar você a ser mais forte, mais preparado e mais consciente – seja nas ruas, na rotina ou em situações de crise.

Este canal é um convite para evoluir. Se você quer realmente estar à frente, tanto na mente quanto na prática, é hora de dar o próximo passo.

Conheça nossos dois cursos:

Programa de Proteção: Estratégias práticas para prevenir e se antecipar à violência.

Curso de Mentalidade Caveira: Fortaleça sua mente e aprenda a pensar como um verdadeiro operador.

""Se quer ir longe, fortaleça o corpo. Se quer ir a qualquer lugar, forje a mente.""

🚨 Siga o canal, ative o sino e compartilhe. Sua transformação começa aqui.

","mental toughness, build resilience, overcoming challenges, mindset shift, mental health tips, self discipline, personal growth, self development, life transformation, how to improve yourself, motivation tips, life lessons, philosophy of life, meaning of life, finding purpose, life advice, motivational speeches, inspirational quotes, daily motivation, how to stay motivated, motivation for success, social skills, understanding people, communication tips, building relationships, dealing with negativity","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:22:19.922116
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,Improvement112,UCaHTX1qvmqLGGyrLGvMHgPA,https://www.youtube.com/@improvement112,18900,80,Self-Improvement - Educational Tutorials,Unknown,0.73,0.73,Improving is the best thing a man or woman can do.,"self improvement, motivation tips, discipline motivation, mindset change, personal growth, overcoming obstacles, success mindset, achieving goals, how to succeed, success habits, goal setting, success tips, discipline tips, productivity hacks, time management, how to be disciplined, building habits, focus techniques, men's motivation, men's self improvement, masculine mindset, men's discipline, men's success, mindset for men, overcoming challenges, dealing with failure, how to handle stress, coping with bad days, life advice, resilience building","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:22:34.155609
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,Smart Women Society,UClvYhie7jUZiFlOJ-X0Hkhg,https://www.youtube.com/@smartwomensociety,13200,1450,Financial Education - Educational Tutorials,Unknown,0.76,0.853,"Smart Women Society (SWS) is an online education platform that aims to empower and educate women to get smart about their money, career, wellbeing and love. 

We focus on providing actionable and easy-to-understand content, breaking down complex topics to help the modern, ambitious woman thrive in her life. 

---
FOLLOW US:

Instagram: @smartwomensociety

Website: smartwomensociety.com

Buy our Game Plan digital bundles from smartwomensociety.com

---

For any business enquiries or if you are interested in being a guest in our Smart Women, Smart Moves video series, please email hello@smartwomensociety.com

","mental health tips, self care practices, overcoming burnout, stress management, mindfulness techniques, career advice, how to resign, toxic workplace signs, career coaching, job search tips, money management, financial literacy, saving money tips, budgeting for beginners, wealth mindset, productivity tips, weekly planning, time management, how to plan, goal setting, personal development, self improvement tips, life coaching, positive mindset, motivation techniques","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:22:46.760742
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,Pabbly,UCVA5GKy8qpDxQR5xSt_zcJg,https://www.youtube.com/@pabbly,57600,15287,Business - Educational Tutorials,IN,0.67,0.638,"Welcome to our enriching channel, your ultimate source for in-depth tutorials on Pabbly – an all-encompassing suite of robust software tools meticulously designed to streamline various facets of your business processes. Whether you aspire to supercharge your workflows through Pabbly Connect, efficiently handle subscriptions using Pabbly Subscription Billing, create visually stunning email campaigns with Pabbly Email Marketing, or delve into the realms of marketing, lead generation, automation, and connectivity across WhatsApp, Facebook, Instagram, and Slack – rest assured, we've got every aspect covered.
Our tutorials extend their reach to encompass Pabbly Form Builder and Pabbly Email Verification, both indispensable tools for crafting and maintaining a resilient email list. If you're poised to elevate your business to unprecedented heights, make sure to subscribe to our channel. 

","whatsapp chatbot, ai assistant, automate tasks, ai for business, whatsapp automation, chatbot for customer service, capture leads, linkedin lead ads, facebook leads, automate lead capture, lead generation tools, how to generate leads, automate email marketing, bulk email updates, email marketing tips, send emails automatically, email automation tools, productivity automation, task management tools, how to automate work, productivity tips, workflow automation, automate shopify, woocommerce integration, ecommerce automation, order notifications, online store automation","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:23:01.038808
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,Madz Jewelry,UCixP0TqeymGSlKtgQoulCIQ,https://www.youtube.com/@madzjewelryy,382000,217,Fashion - Vlog,Unknown,0.4,0.698,"Hi! I am Madz and I am the creator of Madz Jewelry who sells super cute and trendy bracelets and necklaces! I like to post content about my products! The link in on my page if interested!
","jewelry packaging, bracelet business, small business ideas, how to sell jewelry, jewelry making, charm necklace, bead shopping, how to start an online store, online shop tips, ecommerce marketing, selling online, promote your shop, discount strategies, restock alerts, new product launch, product restock, how to launch a product, upcoming products, product reveal, launch strategies, limited edition products, creative business ideas, how to make money online, side hustle ideas, entrepreneur tips, build a brand, small business success, creative entrepreneurship","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:23:13.446409
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,Satvic Movement,UC53cAvFeWsNwsfCQnJmLjDQ,https://www.youtube.com/@satvicmovement,8040000,460,Health and Wellness - Educational Tutorials,IN,0.3,0.327,"Satvic Movement is a community-driven health revolution to help you reach the peak of your physical, mental, and spiritual well-being.

The Satvic lifestyle is rooted in principles of simple food, early waking, yoga, loving relationships, service attitude and living in harmony with nature.

The knowledge shared is based on timeless ancient principles and is communicated in modern, practical and easy-to-understand terms. 

It is shared through our online workshops (ranging from 3 to 21 days), books and videos.

So far, over 5 lakh people have attended our workshops, 100,000 Satvic books have been sold, and our videos have amassed over 1 billion views.

Founded in 2017, today, Satvic Movement has exploded into a thriving community of thousands of people across India, becoming one of the largest health revolutions in the nation.

Satvic Movement's mission is to create a world where people can effortlessly live a healthy and joyful life, in harmony with each other, and with Mother Nature.","healthy eating, plant based diet, dairy alternatives, mental health food, food and mood, nutrition tips, packaged food dangers, food industry secrets, hidden ingredients, food labeling issues, processed food facts, healthy recipes, easy dessert recipes, quick snack ideas, homemade sweets, nutritious meals, animal welfare, vegan lifestyle, cruelty free living, ethical eating, animal agriculture, benefits of fasting, intermittent fasting, fasting for health, spiritual fasting, fasting practices","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:23:24.089061
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,Best Learning Videos for Little Ones,UCXYwlA4W3JpivTs3XczuZwQ,https://www.youtube.com/@bestlearningvideos4littleones,404000,22,Children's Education - Educational Tutorials,US,0.3,0.504,,"learning videos for kids, educational videos for toddlers, best learning videos, fun learning for kids, preschool learning videos, learning activities for toddlers, learn the alphabet, abc learning for kids, alphabet songs for toddlers, abc videos for preschoolers, alphabet games for kids, bible stories for children, kids bible lessons, bible stories for toddlers, animated bible stories, bible stories for preschoolers, math videos for kids, learning math for toddlers, fun math activities, math games for preschoolers, basic math for kids, science experiments for kids, fun science videos, science learning for toddlers, kids science activities, educational science videos, learning through play, creative learning activities, hands-on learning for kids, fun educational activities, learning with toys","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:23:38.696060
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,H2 Tech Gyan (HTG),UCgHHu5CkDEQK_Vg1WXqAUiw,https://www.youtube.com/@h2techgyan,19700,100,Tech - Educational Tutorials,IN,0.43,0.486,"you tube technical video and new ubtes all details on a you tube channel 
daily video uploading my chhennal to subscribe it and press the Balkan

contact us :-
Official_hariom_307

Instagram account link :-

https://www.instagram.com/official_hariom_307?igsh=MTAzZTNxNjB4bXN6bA==

Gmail account :- hsawake6@gmail.com

about as:- you tube technical video and marketing prises
daily video uploading my chhennal to subscribe it and press the Balkan

copyright Disclaimer :-
under section 107of copyright act 1976, allowens in made for  Fiar Use for purpose such a as  criticism, scholarship and research. Fiar Use is use a permitted by copyright stutas that otherwise be infringing. no property educational or presonal use tips the balanse in favor of FAIR USE.
video is for Education and promotional purpose only.we do not a promot illegal use of these apps by any way thanks.



","how to grow on youtube, youtube growth tips, increase youtube subscribers, youtube channel growth, how to get views, viral youtube videos, youtube monetization requirements, how to monetize youtube, youtube earnings, make money on youtube, youtube ads revenue, how to create content, video editing tips, youtube video ideas, best time to upload, custom thumbnail tips, how to go viral, viral shorts tips, youtube shorts growth, create viral videos, shorts video ideas, youtube channel settings, how to verify youtube account, youtube channel optimization, youtube settings for growth, hide likes and comments","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:24:39.699608
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,Edutopia,UCdksaQxXH13BMeHo09MorBg,https://www.youtube.com/@edutopia,263000,1020,Education - Educational Tutorials,US,0.54,0.626,"Welcome to Edutopia's YouTube channel. We create videos about what's working in preK - 12 education. Whether you're curious about about project-based learning, integrating tech tools, or social and emotional learning practices, we've got you covered. And don't miss our Schools That Work series, which focuses on evidence-based strategies that you can bring to *your* classroom. 

Ready to join the movement for change in education? Subscribe now to keep up with our video releases!","classroom management, teaching strategies, student engagement, learning activities, educational tools, effective teaching, boost student motivation, communication skills, emotional learning, social skills, self-regulation skills, ai in education, podcasting in classroom, whiteboard activities, visual rubrics, phonics instruction, fun classroom games, brain breaks, interactive learning, movement in learning, creative teaching, teacher tips, educator resources, school culture, principal leadership, teacher training","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:24:52.366493
Thomasfrank,UCG-KntY7aVnIGXYEBQvmBAQ,Productivity - Educational Tutorials,Mitali Unfiltered!,UCpMH0gwyPZw20r90Lv6zB-Q,https://www.youtube.com/@mitaliunfiltered,179000,90,Lifestyle - Vlog,IN,0.3,0.554,"a channel for all that I love and want to share with you guysss!!

more of mee https://www.youtube.com/@MitaliThisSide
","overcoming emotions, navigating feelings, emotional health, mental health tips, self acceptance, personal stories, life experiences, storytime videos, narrative storytelling, relatable stories, daily vlogs, minivlog ideas, lifestyle vlogs, vlog content, vlog inspiration, solo travel tips, travel itinerary, budget travel, travel safety, how to travel alone, life lessons, advice for young adults, growing up, adulting tips, navigating adulthood","how to get brand deals, business ideas for creators, make money online, youtube sponsorships, creator economy, monetize your channel, financial independence, money management tips, how to save money, investing for beginners, passive income ideas, budgeting strategies, productivity tips, how to wake up early, overcoming procrastination, time management techniques, self discipline, focus strategies, how to learn coding, study tips for students, best learning resources, improve your writing, reading habits, how to organize your calendar, best productivity apps, how to automate tasks, noise cancelling headphones, tech tools for creators, best apps for students",1,2025-10-30T15:25:05.199236
