Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Niche,Discovered_Keywords,Level,Timestamp,Seed_Keywords,Similarity_Score
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,https://www.youtube.com/@thediaryofaceo,13200000,Self-improvement and mindset motivation,"goal setting strategies, mindset transformation techniques, memory enhancement hacks, brain rewiring methods, relationship building insights, productivity improvement tips, motivational storytelling, interview format discussions, podcast-style conversations, educational deep-dives",1,2025-10-27T13:22:07.986975,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.94
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,ExpHub - Prashant Kirad,UCgoyBmLOMNWmsiVkj-MezyQ,https://www.youtube.com/@exphub,10500000,Motivational guidance for students,"overcoming addiction strategies, brain health improvement, teenage distraction management, student success mindset, focus enhancement techniques, scientific self-improvement, motivational storytelling, educational challenge series, narrative video essays, scientific explanation videos",1,2025-10-27T13:22:22.687658,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.76
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,GREAT IDEAS GREAT LIFE,UCurYxozQbvKn-oNUxNJh45Q,https://www.youtube.com/@greatideasgreatlifeindia,7170000,Self-improvement documentaries and insights,"financial success strategies, rapid learning techniques, superintelligence insights, entrepreneurial growth stories, personal goal achievement, debt management advice, documentary storytelling, interview format discussions, narrative insights, cinematic documentary style",1,2025-10-27T13:22:36.300913,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.76
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,SeeKen,UCfhbydY40P2Lli9HuBz8cdA,https://www.youtube.com/@seeken,4450000,Self-improvement book summaries,"mindfulness book summaries, personal growth insights, brain training techniques, dopamine reset strategies, visualization exercises, emotional intelligence development, animated book summaries, motivational storytelling, challenge-based learning, narrative book reviews",1,2025-10-27T13:23:32.465397,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.88
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Almost Everything,UCqdpvuKq4bShO1cJoFX6zpQ,https://www.youtube.com/@almosteverything,1780000,Self-improvement and financial education,"mindset growth strategies, financial freedom planning, confidence building techniques, investment education tamil, life skills development, financial habits analysis, motivational storytelling, documentary style presentations, interview format discussions, educational deep-dives",1,2025-10-27T13:24:16.189218,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.76
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Collin The Chad,UClvdIQwkgwMFwyjsDZoi-4g,https://www.youtube.com/@intellectualchad,725000,Self-improvement and study motivation,"confidence building techniques, study motivation strategies, brain focus improvement, skill learning hacks, exam preparation tips, self-improvement for students, motivational storytelling, documentary style presentations, educational deep-dives, narrative-driven guides",1,2025-10-27T13:25:25.307724,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.92
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,The Art Of Personal Growth,UCGauEaTrbtomP7JmW8hmQWA,https://www.youtube.com/@theartofpersonalgrowth,82300,Personal development and self-improvement,"moral decision making, cognitive bias analysis, personal growth strategies, ethical dilemma exploration, self-improvement techniques, life lesson storytelling, motivational video essays, philosophical deep-dives, narrative-driven insights, educational video series",1,2025-10-27T13:27:07.296163,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.88
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Self improvement | Money | Mindset ,UCd-7ijy51DKYeaA2-2FZg_A,https://www.youtube.com/@mindset.crafter,16300,Personal growth and mindset motivation,"mindset transformation techniques, productivity and focus tips, personal growth strategies, discipline and motivation hacks, self-transformation insights, mindset reset routines, motivational storytelling, quick insight videos, educational narrative style, motivational speech format",1,2025-10-27T13:29:56.048061,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.94
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Self Improvement,UCpyw46l3uoqdPi7tLm2QAIA,https://www.youtube.com/@self_improvem_ent6,11600,Entrepreneurial mindset and self-improvement,"entrepreneurial mindset development, mastering discipline techniques, success mindset strategies, motivational storytelling, stoicism philosophy insights, mindset transformation journeys, motivational speech compilations, short-form motivational videos, inspirational quote breakdowns, edm motivational mixes",1,2025-10-27T13:30:25.438228,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides",0.88
Vox,UCLXo7UDZvByw2ixzpQCufnA,News analysis and storytelling,Jubilee,UCJjSDX-jUChzOEyok9XYRJQ,https://www.youtube.com/@jubilee,10500000,Social issues and political debates analysis,"political debate analysis, social issue discussions, government policy critique, patriotism and politics, generational political debates, body image reflections, documentary style storytelling, interview format debates, narrative storytelling approach, deep-dive political analysis",1,2025-10-27T13:31:17.933223,"internet culture analysis, civil conflict predictions, memory reconstruction insights, government policy debates, climate change strategies, digital addiction exploration, documentary storytelling, interview format discussions, narrative analysis style, investigative deep-dives",0.82
