video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
i2Y8al_Pkv0,How Political Debate Got So Frustrating,"Go to https://hensonshaving.com/tomnicholas and enter ""TOMNICHOLAS"" at checkout to get 100 free blades with your purchase.  A video about ""context collapse"" and how it's made all our political conversations deeply frustrating. And perhaps worse.  Written, directed and presented by Tom Nicholas. Edited by Georgia Burrows. Production support by Jack Carter.  Watch this video ad- and sponsor-free on Nebula at https://nebula.tv/videos/tomnicholas-why-political-debates-suck-now  Support my work on Patreon at https://patreon.com/tomnicholas  *Chapters* 00:00 I Don't Know What My Role is Anymore 02:19 Part One: The Political Opinion-Haver Cube 07:05 Part Two: BeforetheFall.com 14:05 Part Three: Context Collapse Confusion 18:47 Part Four: Was Silence Not an Option? 24:01 Part Five: Leveraging Context Collapse 30:27 Part Six: The Crackdown  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas  Select footage courtesy of Getty Music from Epidemic Sound",2025-10-26 16:49:30,2228,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
xFfgvIe0atU,"Why British Police Arrested 2,000 Peaceful Protestors","Please consider helping to support my work at https://patreon.com/tomnicholas  Over the past three months, the British Police have arrested over 2,000 peaceful protestors for doing nothing more than holding signs. I headed to London to speak with Kerry Moscogiuri from Amnesty International UK to find out why.  Directed and Presented by Tom Nicholas. Filmed and edited by Georgia Burrows. Additional research and production assistance by Jack Carter.  Watch this video ad- and sponsor-free on Nebula at https://nebula.tv/videos/tomnicholas-why-british-police-arrested-2000-peaceful-protestors  Support my work on Patreon at https://patreon.com/tomnicholas  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas  Select footage courtesy of Getty Music from Epidemic Sound",2025-10-08 15:09:24,1807,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
F8XJMDXVO5U,Universities are in crisis. Here's why.,"Watch my Nebula Original film BOOMERS right now at https://go.nebula.tv/tomnicholas  Get 40% off an annual subscription to Nebula: https://go.nebula.tv/tomnicholas  University is broken. Students are paying through the nose. Graduates are struggling to find jobs. And a degree no longer seems to be the key to social mobility it once was. How did higher education fall apart, and how can we fix it?  Written, directed, and presented by Tom Nicholas. Filmed and edited by Georgia Burrows. Additional research and production assistance by Jack Carter.  *Chapters* 00:00 The Great University Scam 02:07 How University Became So Expensive 21:39 Why Graduates Can’t Get Jobs 34:49 Can Universities Solve Social Mobility? 44:10 A Game of Risk 48:12 How to Sort Your Algorithm (Abandon It)  Watch this video ad- and sponsor-free on Nebula at https://nebula.tv/videos/tomnicholas-why-university-feels-like-a-scam-now  Support my work on Patreon at https://patreon.com/tomnicholas  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas  Select footage courtesy of Getty Music from Epidemic Sound",2025-09-30 16:19:33,3118,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
-QSKgU8MbG0,Elon Musk is Melting Far Right Brains…,"Please consider helping to support my work at https://patreon.com/tomnicholas  Has Elon Musk's X (previously Twitter) dragged our political conversation to the right? Or is it creating a delusion dreamworld for conservatives which is has the potential to backfire?  Written, directed, and presented by Tom Nicholas. Filmed and edited by Georgia Burrows. Additional research, writing and production assistance by Jack Carter.  *Chapters*  00:00 Twitter isn't real life. 00:58 Elon Musk's Twitter Takeover 03:14 Lucy Connolly: Hero or Villain? 06:12 The Brink of Civil War? 07:54 Nigel Farage's Fragile Coalition 11:24 Flagging and Deflagging 13:24 Let's Not Get Complacent  Watch this video ad- and sponsor-free on Nebula at https://nebula.tv/videos/tomnicholas-elon-musk-is-rotting-conservative-brains  Support my work on Patreon at https://patreon.com/tomnicholas  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas  Select footage courtesy of Getty Music from Epidemic Sound",2025-09-10 08:48:06,1117,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
okOEMgu2iZQ,How the Far Right Took Over Britain,"Want to restore the planet’s ecosystems and see your impact in monthly videos? The first 100 people to join Planet Wild with my code TOM8 will get the first month for free at: https://planetwild.com/r/tomnicholas/join   If you want to get to know them better first, check out their project rescuing baby seals https://planetwild.com/r/tomnicholas/m30   British politics is broken. A deeply unpopular government. Mind-boggling policy decisions. And an insurgent far-right. But how did we get here?  Written, directed, and presented by Tom Nicholas. Filmed and edited by Georgia Burrows. Additional research, writing and production assistance by Jack Carter.  *Chapters*  00:00 Nigel and Keir 06:00 Part One: Life’s a Riot 13:48 Part Two: Rising Stars 20:43: Part Three: Leaving and Remaining 27:01 Part Four: Centre and Periphery 34:04 Part Five: The Leader and the Loser 43:48 Part Six: Taking Over 53:35 Part Seven: Spot the Difference 55:51 Planet Wild  Watch this video ad- and sponsor-free on Nebula at https://nebula.tv/videos/tomnicholas-the-men-who-broke-british-politics  *Blurb*  Keir Starmer. Nigel Farage. Two politicians whose careers have chased one another for decades. And yet, both represent powerful tendencies within British politics which, as they’ve come to dominate the mainstream have brought the country to the edge.  This is the story of the men who broke British politics.  Support my work on Patreon at https://patreon.com/tomnicholas  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas  Select footage courtesy of Getty Music from Epidemic Sound",2025-08-24 21:10:42,3530,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
kxnxhDDfLtc,Ubernomics: Why Everything's a Monopoly Now,"Watch my debut feature-length documentary BOOMERS on Nebula here: https://go.nebula.tv/tomnicholas  Get 40% off an annual subscription to Nebula: https://go.nebula.tv/tomnicholas  A deep dive into how Uber, and other platform companies, take over new markets, and what the impact is on workers, customers, and geopolitics.  Written, directed, and presented by Tom Nicholas. Filmed and edited by Georgia Burrows. Additional research and production assistance by Jack Carter.  *Chapters* 00:00 The Case of the Impossibly Cheap Uber 02:36 When Uber Comes to Town 10:15 Predatory Pricing 20:40 How Silicon Valley Monopolized the World 28:28 Platforms All the Way Down  Watch this video ad- and sponsor-free on Nebula at https://nebula.tv/videos/tomnicholas-how-silicon-valley-monopolised-the-world  *Blurb* My city recently got Uber. And, with that, came an opportunity to investigate the tactics which platform companies like Uber use when they arrive in new locations. How do they use pricing and other methods to stamp out the competition. And, what is the impact of Silicon Valley's monopolisation of the world on global trade.  Support my work on Patreon at https://patreon.com/tomnicholas  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas  Select footage courtesy of Getty Music from Epidemic Sound",2025-07-21 10:59:42,1945,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
FQToWE53O98,this isn't working.,Please consider helping to support my work at https://patreon.com/tomnicholas  Sorry for the super cringe video.,2025-06-22 16:01:58,976,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
Eu0ciIY-poY,Wetherspoon: Inside Britain's Most Controversial Pubs,"Watch my debut feature-length documentary BOOMERS on Nebula here: https://go.nebula.tv/tomnicholas  Get 40% off an annual subscription to Nebula: https://go.nebula.tv/tomnicholas  British pubs are in crisis. Can J.D. Wetherspoon save them? Come with me on an 800 mile road trip to find out...  Written, directed, and presented by Tom Nicholas. Filmed and edited by Georgia Burrows. Additional research and production assistance by Jack Carter.  *Chapters* 00:00 Meet Tim Martin 02:19 Day One: The Rise and Rise of Wetherspoon 31:34 Day Two: Stack 'em High, Sell 'em Cheap 01:05:08 Day Three: Cask Ale and the Culture War  Watch this video ad- and sponsor-free on Nebula at https://nebula.tv/videos/tomnicholas-closing-time-can-wetherspoon-save-the-great-british-pub?ref=tomnicholas  *Blurb* J.D. Wetherspoon, or simply ""spoons"" to its friends, is a British institution. With over 800 pubs in towns and cities across the country, it's not only a regular haunt for many Brits but has also made its way onto the itineraries of many tourists too.  But, Wetherspoons is also controversial. It stands accused of imposing an identikit pub experience on high streets across the country, whilst putting smaller, independent pubs out of business. And that's before we even get into the company chairman, Tim Martin's views on Brexit and the European Union.  Join me on a ridiculous, 800 mile pub crawl across the length of the country to find out whether Wetherspoon can save the great British pub, or whether its ruining pubs for everyone.  Support my work on Patreon at https://patreon.com/tomnicholas  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas Website: http://www.tomnicholas.com  Select footage courtesy of Getty Music from Epidemic Sound",2025-06-08 16:38:06,5574,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
B_q1RemGq3E,Postmodernism is DEAD. This is Who Killed It.,"Watch ABOLISH EVERYTHING and my feature-length doc BOOMERS on Nebula here: https://go.nebula.tv/tomnicholas  Get 40% off an annual subscription to Nebula: https://go.nebula.tv/tomnicholas  A video about postmodernism, how it died, and who killed it.  Written, directed, and presented by Tom Nicholas. Filmed and edited by Georgia Burrows.  *Chapters* 00:00 Remember Postmodernism? 03:29 Suspect Number 1: Jordan Peterson 06:18 The Postmodern Panic 15:40 Suspect Number 2: Donald Trump & Elon Musk 24:35 Postmodernism Revisited 36:57 Suspect Number 3: The 2008 Financial Crisis 43:51 What Comes Next?  Watch this video ad and sponsor-free over on Nebula: https://nebula.tv/videos/tomnicholas-who-killed-postmodernism  *Blurb* Remember postmodernism? Just under a decade ago, the term ""postmodernism"" seemed to be everywhere.  To slightly nerdier commentators on the political right (including Jordan Peterson, James Lindsay, Gad Saad, Dave Rubin, Ben Shapiro, and others), it was a way of warning of the dangers of the so-called ""identity politics"": feminism, anti-racism, disability activism. To just-as-nerdy folks on the political left, it was a way if describing the sheer bizarreness of the first Trump presidency: a new world of ""fake news"" and ""alternative facts"".  But, at some point in the intervening period, postmodernism kind of just vanished from the political conversation. So... is postmodernism dead? And, if so, who killed it?  Support my work on Patreon at https://patreon.com/tomnicholas  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas Website: http://www.tomnicholas.com  Select footage courtesy of Getty Music from Epidemic Sound",2025-04-25 11:27:02,3334,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
FjgFJ83Smdw,The Lords: Meet Britain's Unelected Politicians,"My debut feature-length documentary BOOMERS is out NOW. Watch it here: https://go.nebula.tv/boomers?ref=tomnicholas  Get 40% off an annual subscription to Nebula: https://go.nebula.tv/tomnicholas  A video about Britain's unelected politicians, and the fight over their future.  Written, directed, and presented by Tom Nicholas. Filmed and edited by Georgia Burrows. Research by Jon Nash.  *Chapters*  00:00 Britain's Unelected Politicians 00:48 What is the House of Lords? 03:54 How to Become a Lord 09:27 A Brief History of Britain's Second Chamber 16:08 The Hereditary Peers Bill 19:22 The Beginning of the End? 20:39 The Case Against the House of Lords 29:54 The Case For the House of Lords 37:29 What Could a Democratic Upper House Look Like? 40:29 Will it Still Be Here in 100 Years? 43:02 My Movie is Out Now!  Watch this video on Nebula: https://nebula.tv/videos/tomnicholas-the-lords-why-britain-isnt-a-democracy  *Bibliography*  Find a bibliography for this video here: https://www.patreon.com/posts/122026000  *Blurb*  Britain's Houses of Parliament are often held up as the spiritual home of modern democracy, the ""mother of parliaments"". But, over half of the politicians in the UK parliament aren't elected at all.  The UK's ""upper house"", the House of Lords, although similar in some ways to the US Senate, continues to operate on a system which brings together political patronage, religious privilege, and even inherited political power.  But that could be about to change. The incoming Labour Party government under Keir Starmer has promised significant reform to the House of Lords.  But, how do those who sit within it feel?  Join me as I venture inside the House of Parliament to ask a Baron, two Baronesses, and an Earl what they think.  Support my work on Patreon at https://patreon.com/tomnicholas  Twitch: http://twitch.tv/tom_nicholas Twitter: http://twitter.com/tom_nicholas Instagram: http://instagram.com/tomnicholaswtf Patreon: http://patreon.com/tomnicholas Website: http://www.tomnicholas.com  Select footage courtesy of Getty Music from Epidemic Sound",2025-02-11 16:23:28,2826,False,Tom Nicholas,UCxt2r57cLastdmrReiQJkEg,"I make videos about politics, history and culture.

My goal is to provide context and clarity to trending topics. I like to take a critical look at current affairs and track down the origins of the ideas which shape the way we see the world.

Find me in the following places:

Patreon: http://patreon.com/tomnicholas
Twitter: http://twitter.com/tom_nicholas
Instagram: http://instagram.com/tomnicholaswtf"
