Tier,Discovered_Channel_Name,Discovered_Niche,LLM_Score,Embedding_Score,Discovered_Subs,Discovered_Country,Method,Reason
1,Amala Ekpunobi,Culture Critique - Talking-Head Analysis,0.82,0.926,2480000,Unknown,LLM_SCORE,LLM Score >= 0.8
2,Benny Johnson,Politics - Talking-Head Analysis,0.76,0.9,6090000,Unknown,LLM_SCORE,LLM Score >= 0.7
2,PEEPER,Celebrity Gossip - Talking-Head Analysis,0.73,0.778,213000,US,LLM_SCORE,LLM Score >= 0.7
2,Tom Nicholas,Politics - Talking-Head Analysis,0.73,0.842,628000,GB,LLM_SCORE,LLM Score >= 0.7
2,Then & Now,Political Commentary - Talking-Head Analysis,0.76,0.897,534000,Unknown,LLM_SCORE,LLM Score >= 0.7
2,Film Cooper,Pop Culture Commentary - Talking-Head Analysis,0.76,0.891,1670000,US,LLM_SCORE,LLM Score >= 0.7
2,Dark Waters,Political News - Talking-Head Analysis,0.76,0.815,567000,US,LLM_SCORE,LLM Score >= 0.7
2,The Young Turks,Politics - Talking-Head Analysis,0.76,0.859,6330000,US,LLM_SCORE,LLM Score >= 0.7
2,Tucker Carlson Network,Politics - Talking-Head Analysis,0.76,0.884,1480000,US,LLM_SCORE,LLM Score >= 0.7
2,The Daily Show,News and Politics - Satirical Commentary,0.73,0.835,13200000,US,LLM_SCORE,LLM Score >= 0.7
2,SiahSpeaks ,Social Commentary - Talking-Head Analysis,0.76,0.865,85300,Unknown,LLM_SCORE,LLM Score >= 0.7
2,The Rational National,Political Commentary - Talking-Head Analysis,0.76,0.815,731000,CA,LLM_SCORE,LLM Score >= 0.7
3,Chad Chad,Pop Culture Commentary - Talking-Head Analysis,0.67,0.809,3030000,Unknown,EXTRA_LLM_VALIDATION,"Both channels focus on cultural commentary and social issues, with similar formats of analysis and critique on pop culture and societal trends."
2,Misha Petrov,Social Commentary - Talking-Head Analysis,0.76,0.897,521000,US,LLM_SCORE,LLM Score >= 0.7
2,The Royal Spotlight,Celebrity Gossip - Talking-Head Analysis,0.73,0.816,33900,US,LLM_SCORE,LLM Score >= 0.7
3,Pop Culture Brain,Pop Culture - Talking-Head Analysis,0.67,0.785,168000,Unknown,EXTRA_LLM_VALIDATION,"Both channels focus on cultural commentary and pop culture analysis, using a similar format of commentary and critique."
3,Kelly Scholas ,Pop Culture Critique - Talking-Head Analysis,0.67,0.823,60900,US,EXTRA_LLM_VALIDATION,"Both channels focus on cultural commentary and analysis of celebrity and societal issues, using a similar format of critique and discussion."
3,Lani's Lens,Film and TV Critique - Talking-Head Analysis,0.56,0.843,94000,Unknown,EXTRA_LLM_VALIDATION,"Both channels focus on cultural commentary and critique, with similar formats of analysis on societal and pop culture issues."
3,Pop Culture Crisis,Pop Culture - Podcast/Interviews,0.67,0.878,376000,US,EXTRA_LLM_VALIDATION,"Both channels focus on social commentary and cultural critique, with similar formats of analysis and discussion around modern societal issues and pop culture."
2,Timcast,Politics - Talking-Head Analysis,0.73,0.878,1880000,US,LLM_SCORE,LLM Score >= 0.7
2,Raven Schwam-Curtis ,Political Commentary - Talking-Head Analysis,0.76,0.852,12800,US,LLM_SCORE,LLM Score >= 0.7
2,Thinking What,Political Commentary - Talking-Head Analysis,0.73,0.819,476000,US,LLM_SCORE,LLM Score >= 0.7
2,TMR,Media Critique - Talking-Head Analysis,0.73,0.846,218000,US,LLM_SCORE,LLM Score >= 0.7
