Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Niche,Seed_Keywords,Discovered_Keywords,Level,Timestamp,Similarity_Score
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,https://www.youtube.com/@thediaryofaceo,13200000,Self-improvement and mindset motivation,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","mindset transformation techniques, financial mindset shifts, longevity health strategies, goal-setting frameworks, brain rewiring methods, women's health insights, motivational storytelling, expert interview series, deep-dive discussions, educational podcast format",1,2025-10-28T17:02:43.696085,0.793
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,CA Rahul Malodia,UCPgfM-dk3XAb4T3DtT6Nwsw,https://www.youtube.com/@rahulmalodiaofficial,6830000,Business growth and strategy education,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","business strategy insights, corporate crisis analysis, gig economy trends, luxury real estate market, consumer finance pitfalls, digital transformation strategies, documentary style presentations, interview format discussions, narrative storytelling, investigative deep-dives",1,2025-10-28T17:03:12.437426,0.777
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Raw Talks With VK,UCEW_Fg9lQ2VaS7DLVma01Cg,https://www.youtube.com/@rawtalkswithvk,1930000,Entrepreneurship insights and advice,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","entrepreneurial mindset development, startup growth strategies, business model innovation, leadership in entrepreneurship, risk management for startups, financial planning for entrepreneurs, podcast-style interviews, motivational storytelling, educational podcast format, conversational discussions",1,2025-10-28T17:05:23.288793,0.839
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Entrepreneur Mindset,UC3FfzsW9E08mI-wzDgc0xBQ,https://www.youtube.com/@entrepreneurmindset,515000,Business case studies and analysis,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","corporate scandal analysis, business failure case studies, brand evolution stories, financial crisis analysis, company turnaround strategies, market disruption analysis, documentary style storytelling, narrative case studies, investigative deep-dives, interview format discussions",1,2025-10-28T17:07:19.187772,0.757
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Liam Porritt,UCrMptz_4sBQHf6V8pNgHGgQ,https://www.youtube.com/@liam.porritt,280000,Productivity and career improvement tips,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","productivity hacks, career advancement strategies, financial literacy tips, corporate lawyer insights, frugal living strategies, work-life balance techniques, documentary style storytelling, interview format discussions, motivational storytelling, educational explainer videos",1,2025-10-28T17:08:31.559444,0.856
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,The Art Of Wealth Building,UCyLz9DkPmnqyXMbRTRGBftQ,https://www.youtube.com/@theartofwealthbuilding,262000,Financial literacy education and wealth building,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","financial independence strategies, wealth creation methods, stock market investing, mutual fund comparisons, early retirement planning, financial freedom education, documentary style presentations, interview format discussions, narrative storytelling, deep-dive analysis",1,2025-10-28T17:08:49.100794,0.796
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Productivity Guy,UCVbbCJ6jN4ki3w3vdeO3EEQ,https://www.youtube.com/@productivityguy-,123000,Productivity skills and strategies education,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","time management strategies, productivity mindset shifts, goal setting pitfalls, overcoming procrastination techniques, personal productivity systems, motivation and focus tips, narrative storytelling approach, deep-dive analysis format, reflective discussion style, educational video essays",1,2025-10-28T17:10:16.920561,0.796
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Business Mindset,UCH3ULOspM99h9iOU55IvTVQ,https://www.youtube.com/@businessmindset5781,104000,Entrepreneurial mindset and financial education,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","wealth creation strategies, entrepreneurial mindset development, financial education insights, investment planning techniques, business growth tactics, asset management tips, motivational storytelling, interview format discussions, educational explainer videos, narrative storytelling style",1,2025-10-28T17:10:58.886971,0.878
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Location Rebel,UCplp_A1sXC0H0PQgRRVVz6Q,https://www.youtube.com/@locationrebel,66300,Building lifestyle businesses through freelancing,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","freelance writing business, sustainable freelance career, content creation strategies, introvert content creator, copywriting success tips, online writing opportunities, educational video series, motivational storytelling, step-by-step business guides, interview-style discussions",1,2025-10-28T17:11:26.571230,0.766
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Wealth Building Blueprint,UC6HyiJvZ7OktrWmObcrYYKA,https://www.youtube.com/@wealthbuildingblueprint,28100,Online income generation tutorials,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","cryptocurrency investing tips, freelance job opportunities, financial habit development, business startup mistakes, problem-solving book recommendations, stress management techniques, educational video series, motivational storytelling, actionable advice format, productivity strategy sessions",1,2025-10-28T17:12:37.853930,0.843
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Dion Talk Financial Freedom,UCjXCAh2R1gwE1WlmNRUNpIg,https://www.youtube.com/@diontalkfinancialfreedom,24800,Financial independence education and strategies,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","financial independence strategies, early retirement planning, cash flow management, real estate investment insights, debt leverage techniques, financial freedom journey, interview format discussions, storytelling narratives, case study analysis, podcast-style episodes",1,2025-10-28T17:13:06.573992,0.825
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Fernan Santiago,UCBUSlhWW_tNv1P1eyVZSHYA,https://www.youtube.com/@coachfernansantiago,23300,Affiliate marketing and business growth tips,"financial freedom strategies, productivity desk setup, lifestyle business building, wealth creation methods, entrepreneurial mindset tips, time management techniques, motivational storytelling, interview format discussions, case study breakdowns, goal-setting workshops","affiliate marketing strategies, business growth techniques, sustainable business models, leadership in business, global business opportunities, product affordability analysis, documentary style storytelling, interview format discussions, motivational business stories, educational video series",1,2025-10-28T17:13:20.863304,0.839
