video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
AFfY5A46kLo,How Social Media Rewired Journalism ft. Aaron Parnas | Shane Smith Has Questions,"Shane Smith sits down with Aaron Parnas, the 26-year-old lawyer, journalist, and viral political commentator who’s redefining how Americans get their news. Together, they unpack the collapse of public trust in mainstream media, the rise of social platforms as new journalism hubs, and how Gen Z’s relationship to truth and power differs from every generation before.  Parnas opens up about growing up amid political scandal, as the son of Lev Parnas, an associate of Rudy Giuliani, and how personal trauma forged his drive to bring clarity and speed to today’s chaotic information ecosystem. He explains how he built a platform reaching more than 80 million Americans on TikTok by reporting in real time using court filings, direct government sources, and social feeds instead of corporate newsrooms.   Shane and Aaron compare notes on their own careers in war zones and misinformation battlegrounds, exploring how “social media has democratized journalism” but also created echo chambers, rage cycles, and conspiratorial feedback loops.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  Protect your family with life insurance from Ethos. Get up to $3 million in coverage in as little as 10 minutes at https://ethos.com/SHANE. Application times may vary. Rates may vary.  #VICENews #news #sshq   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Welcome, Aaron Parnas! 02:36 Trauma as an Origin  09:57 “Trump First” Experience 12:00 How Aaron Defined his Future 14:34 How Aaron gets the News  16:03 The Price of Journalism 18:56 Mainstream Media and Ukraine 23:38 War and the Narratives for Cloud  26:41 How Social Media is Changing News 29:03 The Strategy Behind the Approach to the Audience 32:07 The Lack of Understanding of GeoPolitics 33:58 The Greatest Gaslight in Media 36:21  The Turn of Not Return  41:09 How Important is the Speed in Journalism  43:07 What Influence Means Nowadays  46:45 The Bubble of Social Media  49:16 Living in a Divided Society  52:10 Final Thoughts  =============================   How Social Media Rewired Journalism ft. Aaron Parnas | Shane Smith Has Questions  https://youtu.be/AFfY5A46kLo",2025-10-30 17:18:59,3331,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
0pMQvKMw_cA,Why Hollywood Lost Its Soul ft. Barry Diller | Shane Smith Has Questions,"Shane Smith sits down with Hollywood titan Barry Diller, the media mogul behind Paramount Pictures, 20th Century Fox, QVC, Expedia, and IAC, for a sweeping journey through one of the most remarkable careers in modern entertainment.  From his mailroom days at William Morris to creating the “Movie of the Week” at ABC, Diller recounts how failure, luck, and relentless curiosity shaped his path to becoming one of the most powerful figures in media. He opens up about his nervous breakdown at 19, the creative chaos of running Paramount during Grease, Raiders of the Lost Ark, and Beverly Hills Cop, and how he embraced technology early, spotting the potential of interactivity decades before the internet boom.  Shane and Barry dive into the lost art of creative confrontation, the decline of instinct in Hollywood, and the tectonic shift from storytelling to data-driven content. Diller also shares deeply personal reflections on his relationship with Diane von Furstenberg, his sexuality, and how a lifetime of contradictions, the shy kid who became a global powerbroker, has defined him. Along the way, there are stories of Beverly Hills scandals, the Munich Olympics tragedy, near misses with Amazon stock worth billions, and why Barry still believes his greatest bet was always on curiosity itself.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  Book your doctor's appointment at https://www.zocdoc.com/shane   Get 50% off your first box, plus free breakfast for 1 year at https://www.factormeals.com/SHANE50OFF and use code SHANE50OFF  #VICENews #news #sshq   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Welcome, Barry Diller! 05:20 Behind the Beverly Hills Image 11:02 OCD, Breakdown, and Anxiety  15:07 Barry's Side of the Story  19:53 Self-Reflection in Success 25:07 Confrontation the Key to Success 31:37 Embracing Technology into Art 33:25 The Best Ideas Started with a ""No"" 38:30 Introducing the Internet to the Business 42:30 Expidia and September 11th  45:35 The Exposure of Public Speaking 47:12 The Idea of Living in a Good Hotel 49:46 Barry and the Munich Olympics 52:30 Building Character 55:21 The Love Story Between Dion and Barry  1:00:12 The Reason Behind the Separation  =============================   Why Hollywood Lost Its Soul ft. Barry Diller | Shane Smith Has Questions https://youtu.be/0pMQvKMw_cA",2025-10-23 16:00:03,3886,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
Q4ni3v38QM0,The Spiritual Crisis of Modern Intelligence ft. Sam Harris | Shane Smith Has Questions,"Shane Smith sits down with Sam Harris, philosopher, neuroscientist, and bestselling author for a deep conversation about artificial intelligence, consciousness, and the fragile future of humanity.  They begin with Sam’s early life and unlikely path, from studying English at Stanford to dropping out after a transformative MDMA experience that led him to India and Nepal, where he meditated and even served briefly on the Dalai Lama’s security detail. What follows is a wide- ranging exploration of how psychedelics, meditation, and neuroscience all shape our understanding of the mind and what happens when machines start thinking faster than we ever could.  From the quantum weirdness of parallel universes to the moral peril of unaligned AI, Sam warns that humanity isn’t in an arms race with China or Google—but with its own ignorance. The two dive into the ethics of wealth and power, the danger of tech billionaires acting like Bond villains, and how meditation might be the only antidote to an accelerating world we no longer understand.  Funny, philosophical, and fearlessly honest, this episode tackles everything from Elon Musk and Bill Gates to psychedelics and the illusion of the self, weaving science and spirituality into a single, provocative conversation about where we go next.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  #VICENews #news #sshq   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Welcome, Sam Harris! 02:41 Deli Land Security and the Universe 12:30 The Processing Time of AI vs Human  24:50 The Consequences of Human Evolution  37:26 The Power of the Salesman 40:48 Recreating the '60s with MDMA 49:00 Laws, Religion, and the Base of Society  56:18 Drugs and the Young Minds 1:07:30 The Brain Activity with Psycodelics 1:17:10 The Process of Writing  1:30:30 The Implications of Free Will 1:42:08 The Dark Side of Social Media  1:49:03 Social Media Addiction in Young People 1:58:44 The use of Platforms for Investigation 2:08:19 The Freedom of Journalism  2:20:23 Final Thoughts  =============================   The Spiritual Crisis of Modern Intelligence ft. Sam Harris | Shane Has Questions https://youtu.be/_409MGkzows",2025-10-16 16:00:02,8878,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
_409MGkzows,How America Lost Faith in Everything ft. Chuck Todd | Shane Smith Has Questions,"Shane Smith sits down with veteran journalist Chuck Todd, former Meet the Press moderator and current host of Sunday Night with Chuck Todd, in a deep dive on the state of American politics and media today.  Chuck opens up about his decision to leave legacy media behind and reinvent political journalism for the long-form podcast era, why Meet the Press became “an aircraft carrier that couldn’t turn,” and how he rediscovered his voice in independent media. Together, he and Shane dissect how the Democrats misread Obama’s 2012 victory, how identity politics replaced class politics, and why Gen X got “screwed” out of ever having a president of its own.  The two discuss the decline of institutional trust, the collapse of local journalism, and the growing “cold civil war” fueled by redistricting and algorithmic polarization. Todd argues that saving democracy begins at the local level by rebuilding trust through community storytelling, youth sports, and bottom-up journalism, while Shane connects the dots between sports, politics, and America’s addiction to tribalism.  The conversation moves seamlessly from Obama and Trump to Reagan and Ross Perot, from Moneyball politics to AOC’s rise, from Walter Cronkite’s myth to TikTok reality. Along the way, Chuck delivers one-liners worthy of a newsroom veteran (“A man named Craig made classifieds free, and yada yada yada, Trump became president”), while Shane pushes him into bold territory on civil war, secession, and whether democracy itself can survive the age of social media.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  #VICENews #news #sshq   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Welcome, Chuck Todd! 03:00 The Change of Legacy Media Nowadays  08:04 The Controversial Side of the Media  13:08 The Puppet Theater Behind Democracy  18:09 Trump's Impact on American Politics  24:38 The Mistake Behind Democrats' Strategy  30:28 Q&A  35:41 Learning From the Past's Mistakes 39:46 The Rock Bottom of the Democratic Institutions  44:44 China VS America's Disorganized Democracy  47:50 The Redistricting Battles of the US 50:05 The Politics Narcissistic Fragmentation 54:13 The Never-Ending American Civil War  1:00:24 Final Thoughts =============================   How America Lost Faith in Everything ft. Chuck Todd | Shane Smith Has Questions https://youtu.be/_409MGkzows",2025-10-09 16:00:04,3723,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
DOXeeBbORm0,The Rage Economy Is Destroying Us ft. Scott Galloway | Shane Smith Has Questions,"Scott Galloway and Shane Smith dive into the growing tension in today’s society, exploring how economic instability, digital culture, and political unrest are shaping people’s frustrations and anger.  They analyze the rise of digital platforms, the deepening wealth divide, and the decline of traditional work structures, which have fueled a wave of anxiety and frustration. Galloway breaks down how capitalism’s evolution and the collapse of old economic systems are leaving many feeling powerless and left behind.   The conversation delves into the cultural forces that amplify anger, and how these shifts are not only affecting individuals but also reshaping businesses and politics in ways that could have long-lasting consequences.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  #VICENews #news #sshq   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Welcome, Scott Galloway! 04:17 Trump Statements with Ukraine Territory 08:48 The Fallout from Iran Bomb  13:44 The Political Culture of Iran and Russia 18:31 The Terrorism Strategy of Israel 24:03 The Republican Voting Block 30:18 The Professor Genocide 37:26 Having Daughters and Sons  42:56 The Increase of Madness with Age 47:53 Notes on Being a Man  59:12 The Change of Mentality in Today's Youth 1:07:15 AI and Loneliness Epidemic  1:15:58 The Role of High School and College  1:20:16 The Dark Future for the Young Generation 1:25:06 The Addiction to Money  1:30:13 The Kitchen Cabinet For Money  1:35:10 Final Thoughts =============================   The Rage Economy Is Destroying Us ft. Scott Galloway | Shane Smith Has Questions https://youtu.be/0zKRyxEyOxo",2025-10-02 16:00:01,6037,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
VSx-bXNJPYk,The Hidden Side of Psychedelic Research ft. Hamilton Morris | Shane Smith Has Questions,"Psychedelics are reshaping medicine and culture. Ayahuasca ceremonies, ibogaine treatments, and ketamine clinics promise breakthroughs but raise hard questions about safety, tradition, and control.  Hamilton Morris joins Shane Smith to unpack the science, myths, and politics behind today’s psychedelic movement. He breaks down the promises of ibogaine clinics, the rise of ketamine in psychiatry, and the battles over MDMA research, showing how curiosity and controversy continue to shape the future of psychedelics.  The conversation highlights how political and economic forces influence the direction of psychedelic research.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  #VICENews #news #sshq   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Welcome, Hamilton Morris! 04:30 The Hidden Risks Behind the Investigation 08:27 The Process and Use of Quaalude 12:33 The History Behind Ibooga 17:57 Ibooga as a Resource to Finish Addiction 20:21 The Background of the PCP 25:39 The popularity behind the K drug  28:39 The Start of MDMA  32:25 The use of MDMA for PTSD Treatment 35:09 The Difference between MDMA and MDA Molly 38:54 China, the Womb of the Chemical World 43:19 The Drugs Fabrics in China 47:27 The Taboo behind the Origin and Use of Drugs 51:10 The Corruption Behind the MDMA Trial 55:45 Today's Advances with the MDMA Trial  58:50 The Debate of Legalizing Mushrooms  1:04:00 Ayahuasca and South American Culture 1:08:13 The Difference Between Ayahuasca and DMT  1:11:51 The Purpose Behind the Use of Ayahuasca 1:15:36 The Science Behind Scapolamine 1:19:47 The Investigation Behind the ""Sapo""  1:22:59 The Story Behind Marcia Moore 1:29:18 The Alternate Ending Theory  1:33:19 The Secret CIA Drugs Program 1:36:41 Final Thoughts on RFK  =============================  The Hidden Side of Psychedelic Research ft. Hamilton Morris | Shane Smith Has Questions https://youtu.be/VSx-bXNJPYk",2025-09-25 16:00:05,6084,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
Cvvzx-ecTrw,Are We Headed for Global Chaos? ft. Ian Bremmer | Shane Smith Has Questions,"Drone warfare is changing the battlefield fast. Cheap swarms can overwhelm defenses, strike deep, and create new security threats—from war zones to stadiums. Add cyber attacks and grid probes, and the gray zone keeps expanding with no clear rules or deterrents.  Global power dynamics are shifting. Trump’s tough talk on Xi, Putin, and Kim clashes with stalled diplomacy and a rising China filling global gaps. With India tensions growing and Europe carrying more of Ukraine, globalization looks more fractured than ever.  The tech race is also splitting. The U.S. leads in AI—for now—but China is sprinting ahead in clean energy. Climate risks are real, but so is the chance to build a cheaper, cleaner future—if politics doesn't block the way.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  Book your doctor's appointment at https://www.zocdoc.com/shane  vicenews #news #sshq #uap   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Trump’s Take and the Global Power Shift 06:10 Shifting Alliances China Rises as U.S. Relations Fray 16:58 Rule-of-Law Rhetoric and U.S. Multilateral Pullback 28:05 Who’s the Biggest Player in the Next Six Months?! 33:29 Jamming Attacks and Critical Infrastructure Vulnerabilities 36:30 The Committee That Saved the World Has Gone AWOL 43:03 Who’s Winning the Next Tech and Energy Race? 47:00 Climate Change and Political Fear What’s Next?! 54:26 Fear at the Center ""The Future of Global Power"" =============================   Are We Headed for Global Chaos? ft. Ian Bremmer | Shane Smith Has Questions https://youtu.be/hi-s84uJZHw",2025-09-18 16:00:19,3388,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
CIfSpyVLym4,"Addiction, Injuries & the Cost of Comedy ft. Johnny Knoxville | Shane Smith Has Questions","Johnny Knoxville sits down with Shane Smith to discuss the physical and emotional costs of his career. He reflects on the chaotic start of Jackass, the pressures of sudden fame, and serious injuries like concussions and an eye fracture that nearly ended his life.  The conversation covers his collaborations with Spike Jonze and Jeff Tremaine, the shift from MTV to feature films, and the political backlash that ultimately forced the show off the air. Knoxville speaks openly about his mental health struggles after repeated head trauma and how he found stability through therapy.  Beyond the stunts, Knoxville highlights projects he’s proud of, including The Ringer, his outlaw country radio show, and documentaries like The Wild and Wonderful Whites of West Virginia. This honest talk reveals a rarely seen side of Knoxville—the man behind the daredevil persona who lived through the consequences.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  vicenews #news #sshq #uap   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 0:00 Welcome Johnny Knoxville 1:03 Evolution of Drunk History and Unexpected Challenges 8:37 Breaking Records with a High Injury Count 14:11 Exploring Anxiety, Family Life, and the Origins of Jackass 19:05 The Beginning of Jackass The Origin Story 34:42 Watching the First Jackass Movie with His Children 49:23 Knoxville on Gambling and Poker 52:16 No One Likes to See a Stunt Succeed 59:22 Finding Himself Again After Brain Trauma 1:08:11 Cadillac Crash and Wild Nights in LA 1:11:17 WWE Wrestling Chaos with Sami Zayn 1:16:40 His Friend Hunter’s Pain and Desire to Die 1:20:40 25 Years of Jackass and What’s Next? =============================   Addiction, Injuries & the Cost of Comedy ft. Johnny Knoxville | Shane Smith Has Questions https://youtu.be/hi-s84uJZHw",2025-09-05 14:53:31,4962,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
hi-s84uJZHw,What the U.S. Military Knows About UFOs ft. Jeremy Corbell | Shane Smith Has Questions,"Shane sits down with investigative filmmaker and UFO researcher Jeremy Corbell to explore the most controversial and captivating subject of our time: Are we alone in the universe?  Corbell—known for his viral military UFO releases and his documentaries like Bob Lazar: Area 51 & Flying Saucers—walks Shane through some of the most compelling cases of unexplained aerial phenomena ever captured. From the infamous “Mosul Orb” to Navy encounters with pyramid-shaped craft, Corbell shares vetted military footage, insider accounts, and the ongoing fight to force government transparency.  The two dig into the shift from “UFO” to UAP (Unidentified Anomalous Phenomena), testimony before Congress about crash retrieval programs and “biologics,” and the broader philosophical stakes if non-human intelligence is confirmed. Along the way, they debate proof, secrecy, and what disclosure could mean for humanity.  Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News  vicenews #news #sshq #uap   Check out VICE News for more: http://vicenews.com  Follow VICE News here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Welcome, Jeremy Corbell 04:09 Mosul orb, UFO or UAP? 11:19 Analyzing the Footage 18:33 Exposing the Truth  28:31 Bob Lazar Testimony  34:38 Cracking the Barometer of Truth 46:46 The documentary of Bob Salazar 51:41 Jeremy and the Whistleblowers 1:01:24 Fighting for UFO Transparency 1:08:33 How Jeremy verifies the story 1:13:56 The Fallout of Lies 1:19:07 Bringing to Light the Jello Mold  1:24:09 Final Take =============================   What the U.S. Military Knows About UFOs ft. Jeremy Corbell | Shane Smith Has Questions https://youtu.be/hi-s84uJZHw",2025-08-28 16:00:07,5423,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
h_x9cUxK8x4,How Psychiatry Lost Its Way ft. Phil Stutz | Shane Smith Has Questions,"Shane sits down with psychiatrist and bestselling author Phil Stutz to unpack the failures of modern psychiatry and why traditional methods often fall short. They explore how Stutz developed The Tools after realizing most therapy wasn’t helping patients, and why action—not endless analysis—is the real path to change.  Stutz shares how experiences with anxiety, depression, and the fight against “Part X” informed his groundbreaking methods. They discuss gratitude as a weapon against despair, the power of human connection in healing, and why facing mortality head-on can spark creativity and meaning.  Visit RocketRX now for 30% off your first order - https://www.rebrand.ly/ada758  #vicenews #news #shanesmithhasquestions #shanesmith #sshq   Don't miss a video! Subscribe NOW: http://bit.ly/Subscribe-to-VICE-News Check out VICE News for more: http://vicenews.com Check out Shane's Substack: https://shanesmith.substack.com/  Get your fix with Zippix Toothpicks! Save 10% by using code Shane at http://www.ZippixToothpicks.com today. Must be 21+  Instantly book a top-rated doctor today at https://www.zocdoc.com/shane   Shane Smith Has Questions SSHQ is a dynamic, apolitical podcast hosted by Shane Smith dedicated to getting to the bottom of prominent instances of misinformation and disinformation while revealing the fascinating fundamental truths (if there are any?) of the most interesting and convoluted social and political issues of our time. In Season 1, Shane discusses many of today’s most important topics such as Immigration, Covid, Immortality, Trump, Elections, Space, and more!  Follow VICE News Here: TikTok: https://www.tiktok.com/@vicenews?lang=en Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo  =============================  Chapters 00:00 Welcome, Phil Stutz! 02:04 Spotting the Problem in Psychiatry 06:08 The Power of Man’s Search for Meaning 12:57 What is Part X? 15:35 Overcoming Part X with Golden Flow 21:33 What Is the Field? 25:46 Life Force and Human Connection 31:53 How Death Shapes Perspective 36:43 The Grand Evolutionary Experiment 41:14 Final Thoughts on Mental Health Problems =============================   How Psychiatry Lost Its Way ft. Phil Stutz | Shane Smith Has Questions https://www.youtube.com/channel/UCZaT_X_mc0BI-djXOlfhqWQ/",2025-08-21 16:00:05,2765,False,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,"VICE News presents Shane Smith Has Questions Season 2.

Shane Smith Has Questions is the bold investigative podcast from VICE News founder Shane Smith that explores the most confusing and controversial issues shaping our world. From misinformation and conspiracy theories to politics science and social trends Shane gets to the bottom of what’s fact what’s fiction and what’s still unknown.

Subscribe to VICE News for unfiltered, hard-hitting interviews and the return of Shane Smith Has Questions. 
"
