Seed_Channel_Name,Seed_Channel_ID,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Keywords,Level,Timestamp,Seed_Keywords,Similarity_Score
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,JRE Clips,UCnxGkOGNMqQEUMvroOWps6Q,https://www.youtube.com/@jreclips,8300000,"social commentary, political analysis, cultural critique, controversial topics, personal stories, investigative journalism, activism discussions, historical narratives, media criticism, societal issues",1,2025-10-25T21:08:02.650796,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.818
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Live Hindi,UCHs3bWyXIw_6J0ORvg97b2w,https://www.youtube.com/@live-hindi,4220000,"business case study, rise and fall, success story, brand journey, market analysis, untold story, entrepreneurial journey, product evolution, consumer rejection, industry comparison",1,2025-10-25T21:09:35.323696,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.709
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,List 25,UCWqJpFqlX59OML324QIByZA,https://www.youtube.com/@list25,2760000,"mind-blowing facts, ancient stories, dark literature, scientific theories, historical secrets, nature mysteries, psychological disorders, interrogation tactics, controversial topics, human experiments",1,2025-10-25T21:10:59.006694,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.751
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Starter Story,UChhw6DlKKTQ9mYSpTfXUYqA,https://www.youtube.com/@starterstory,691000,"entrepreneur stories, app development, micro-saas projects, business validation, revenue growth, coding journey, startup challenges, business cloning, self-taught skills, design agency success",1,2025-10-25T21:13:07.629626,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.729
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Startup Stories,UCnyQy0wD_LCZTlyFHnKIS7Q,https://www.youtube.com/@startupstoriestv,550000,"entrepreneur stories, motivational content, lifestyle entrepreneurship, wellness trends, business success, corporate journeys, founder insights, inspirational tales, strategic decisions, emerging trends",1,2025-10-25T21:13:38.015740,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.812
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Ben Felix,UCDXTQ8nWmx_EhZ2v-kp7QxA,https://www.youtube.com/@benfelixcsi,480000,"financial analysis, investment strategies, personal finance, market comparisons, risk assessment, income generation, housing market, financial misconceptions, equity investing, controversial topics",1,2025-10-25T21:14:07.872661,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.763
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business Stories,UCkEeNJue8P7moYZm0Ptrn5A,https://www.youtube.com/@businessstoriesofficial,302000,"entrepreneur stories, brand origins, corporate success, founder journeys, business transformations, innovative entrepreneurs, historical business, personal struggles, industry pioneers, legacy building",1,2025-10-25T21:15:31.296746,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.799
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Useful Idiots,UC-OKkVxTcgGo34pWUC9CIIw,https://www.youtube.com/@usefulidiots,182000,"political commentary, investigative journalism, media critique, geopolitical analysis, social justice, conflict reporting, activist interviews, government accountability, corporate influence, foreign policy",1,2025-10-25T21:16:58.247097,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.801
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Startup Analyst,UCsD-FQbDbhwEUuX-KeJwrZQ,https://www.youtube.com/@startupanalyst,131000,"brand failures, celebrity brands, market analysis, business downfall, corporate scandals, entrepreneurial stories, reality show impact, telecom history, aviation disasters, retail trends",1,2025-10-25T21:22:29.406718,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.843
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Skeptic,UCfsuI3-92QNO3DVy06PO9wg,https://www.youtube.com/@skepticmagazine,129000,"human exceptionalism, cultural revival, depopulation discussion, serial killer analysis, rationality critique, neuroscience insights, revenge psychology, cult dynamics, historical figures, secularism exploration",1,2025-10-25T21:22:40.467507,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.793
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,BITV ,UCeHhFHZIELAXcSDnlHmsjlw,https://www.youtube.com/@wisdom-r9n,127000,"insurance success, wealth creation, client acquisition, professional development, motivational stories, financial strategies, advisor training, industry insights, networking events, high-net-worth clients",1,2025-10-25T21:23:14.253400,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.798
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,IntroBooks Education,UCQFKQXI3EhSSWSwODomZ_aw,https://www.youtube.com/@introbookseducation,114000,"cryptocurrency analysis, digital business, inflation impact, economic critique, geopolitical implications, artificial intelligence, documentary exploration, financial education, historical context, conflict analysis",1,2025-10-25T21:23:47.627268,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.702
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,BhavyaMoneyTalks,UCUe21HctLxBkaD4OOHC4cRg,https://www.youtube.com/@bhavyamoneytalks,70900,"investment strategies, wealth building, financial education, stock market insights, business ideas, trading tips, mutual funds, entrepreneurial mindset, money management, skills development",1,2025-10-25T21:24:47.136397,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.701
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,The India Opportunity with Shrishti Sahu,UCasyz2FJZxtaxlYdHRgXKww,https://www.youtube.com/@theindiaopportunity,35300,"entrepreneurship analysis, startup ecosystem, market potential, economic insights, investment strategies, stock market guidance, generational impact, infrastructure history, financial education, economic growth",1,2025-10-25T21:27:05.479710,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.7
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,International Institute of Business Analysis (IIBA),UCtpU0wWTg_QBEXnp4HujLEg,https://www.youtube.com/@iiba,26500,"business analysis, cybersecurity insights, empathy practices, cultural diversity, certification preparation, stakeholder engagement, community building, ai integration, professional development, live discussions",1,2025-10-25T21:27:47.567234,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.775
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,BA Professional,UCoILAT_y3bj8Ql5roRnZ1SA,https://www.youtube.com/@baprofessionall,23000,"business analysis, product management, career growth, certification guidance, real-life projects, salary insights, domain knowledge, value creation, work from home, professional development",1,2025-10-25T21:28:18.398940,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.754
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business Analytics by SkillArbitrage,UCcWO3AqiaRqL8XoKUuLVO8Q,https://www.youtube.com/@businessanalyticsbyskilla,18300,"business analysis, fintech careers, startup strategies, ai integration, data-driven decision-making, career advancement, blockchain impact, salary insights, skills development, industry trends",1,2025-10-25T21:28:28.520676,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.767
