Seed_Channel,Candidate_Channel,Status,Seed_Niche,Candidate_Niche,Seed_Format,Candidate_Format,Seed_Intent,Candidate_Intent,Holistic_Score,Holistic_Reasoning,Audience_Match_Score,Audience_Match_Reasoning
Moon,Vox,Success,Social Commentary & Critique,Political & Social Commentary,Talking-Head Analysis (High Production),In-Depth Analysis (Documentary Style),Controversy & Exposé,Inform & Engage on Complex Issues,,,,
Moon,Tom Nicholas,Success,Cultural Critique & Social Commentary,Political & Cultural Commentary,Talking-Head Analysis (High Production),Investigative Analysis (Solo Creator),Expose Truths & Spark Controversy,Provide Context & Clarity on Current Affairs,,,,
Moon,The Young Turks,Success,Social Commentary & Critique,Political Commentary & News Analysis,Talking-Head Analysis (High Production),Live Discussion & Commentary,Expose Truths & Spark Controversy,Engagement & Activism,,,,
Moon,David Pakman Show,Success,Cultural & Social Commentary,Political Commentary & Analysis,Talking-Head Analysis (High Production),Daily Video Podcast (Live Clips & Discussions),Controversy & Critique,Inform & Mobilize Against Political Issues,,,,
Moon,The Rational National,Success,Cultural & Social Commentary,Political Commentary & Media Critique,Talking-Head Analysis (High Production),Talking-Head Analysis (Informal & Engaging),Controversy & Critique,Advocacy for Human Rights & Social Justice,,,,
Moon,Pop Culture Detective,Success,Cultural & Social Commentary,Cultural Critique & Media Analysis,Talking-Head Analysis (High Production),Video Essays,Controversy & Critique,Challenge Norms & Inspire Change,,,,
Moon,Noah Samsen,Success,Societal Critique & Commentary,Political Commentary & Activism,Talking-Head Analysis (High Production),Live Streaming & Commentary,Expose Truths & Spark Controversy,Raising Awareness & Advocacy,,,,
Moon,Mina Le,Success,Cultural & Societal Critique,Cultural Commentary & Fashion Analysis,Talking-Head Commentary,Essay-style Video Essays,Expose Truths & Spark Controversy,Critique & Exploration of Trends,,,,
Moon,Tara Mooknee,Success,Social Commentary & Critique,Feminist & Cultural Commentary,Talking-Head Analysis (High Production),Talking-Head Analysis (Casual & Engaging),Expose Truths & Spark Controversy,Challenge Societal Norms & Promote Awareness,,,,
Moon,tiffanyferg,Success,Cultural & Social Commentary,Cultural Commentary & Social Issues,Talking-Head Analysis (High Production),Talking-Head Analysis (Informal),Controversy & Critique,Critique & Awareness Raising,,,,
