Discovered_Channel_ID,Discovered_Channel_Name,Discovered_Channel_URL,Discovered_Subs,score_format_match,score_format_confidence,score_format_reason,score_similarity,Final_Tier,Final_Status,Tie_Breaker_Used,Tie_Breaker_Reason
UCf0PBRjhf0rF8fWBIxTuoWA,20VC with Harry Stebbings,https://www.youtube.com/@20vc,180000,True,0.95,"All three videos feature clear dialogue markers such as 'Welcome back', 'Guest', and 'Episode', indicating a conversational format typical of podcasts. The middle sections of the transcripts show back-and-forth discussions between hosts and guests, confirming that the content is conversational rather than a monologue. Additionally, the endings of the videos include sign-offs typical of podcast formats, such as expressions of gratitude and excitement for future discussions, further solidifying their classification as podcast content.",0.7260594964027405,1,Tier 1 (Direct Competitor),False,
UCugS0jD5IAdoqzjaNYzns7w,The Logan Bartlett Show,https://www.youtube.com/@theloganbartlettshow,47800,True,0.95,"All three videos feature dialogues between hosts and guests, with clear conversational exchanges and sign-offs typical of podcasts. Video 1 includes phrases like 'Thank you for doing this' and 'My pleasure' at the end, while Video 2 and Video 3 also have similar conversational structures and sign-offs. The presence of dialogue markers and the format of the discussions align with podcast content.",0.711544394493103,1,Tier 1 (Direct Competitor),False,
UCLOzkJ9W9fntCGyYfUwMPew,Patrick Dang,https://www.youtube.com/@patrickdang,336000,False,0.9,"The videos primarily focus on personal branding and entrepreneurship rather than podcast content. They lack dialogue markers such as 'Guest', 'Episode', or conversational structure typical of podcasts. Instead, they feature a monologue style with the host providing advice and insights, which aligns more with tutorial or motivational content.",0.7048394680023193,1,Tier 1 (Saved by Tie-Breaker),True,"Despite failing the initial Format Check, the content of Patrick Dang's videos aligns closely with themes of entrepreneurship, personal branding, and leveraging technology for business success, which are relevant to the competitive landscape. The high topic similarity indicates that the channel addresses similar audience needs and interests, making it a potential competitor."
UC2ZCl6UC4FYlvsUEtK4ZaOg,NFX,https://www.youtube.com/@nfxinsights,30600,False,0.8,"Video 1 presents a monologue about fundraising without dialogue markers or a conversational format. Video 2 features a conversation with clear dialogue markers and a sign-off, indicating podcast content. Video 3 is a monologue discussing strategies for AI founders, lacking the necessary dialogue and sign-off typical of podcasts. Overall, only Video 2 aligns with the podcast format.",0.6904776096343994,1,Tier 1 (Saved by Tie-Breaker),True,"Despite failing the initial Format Check, the content of NFX's videos is highly relevant to the startup ecosystem, focusing on fundraising and pricing strategies, which are critical topics for startups. The high topic similarity indicates that the channel addresses similar themes and challenges faced by startups, making it a potential competitor."
UChpWgrkJY_i7F6wwI_TOnrg,Foundr ,https://www.youtube.com/@foundr,306000,False,0.8,"While Videos 1 and 2 contain podcast elements such as dialogue markers, guest interviews, and sign-offs typical of a podcast format, Video 3 is a tutorial-style content focused on e-commerce mistakes without any conversational elements or guest interactions. This indicates that the channel does not strictly produce 'Podcast' content.",0.6654242277145386,1,Tier 1 (Saved by Tie-Breaker),True,"Despite failing the initial Format Check, the content of the videos focuses on entrepreneurial success stories and growth strategies, which aligns closely with the themes typically found in competitive channels. The high topic similarity in discussing innovative business models and the journeys of founders makes it a relevant competitor."
UCBPlelKqrYlM9gqoLC1R9Lg,Natalie Dawson,https://www.youtube.com/@thenataliedawson,846000,False,0.0,"None of the videos strictly produce 'Podcast' content. Video 1 discusses a personal experience related to a podcast but does not feature a conversation or sign-off typical of podcasts. Video 2 and Video 3 are tutorial-style content focused on charisma and business advice, respectively, lacking dialogue markers and show-like sign-offs.",0.6449487209320068,2,Tier 2 (Saved by Tie-Breaker),True,"Despite failing the initial Format Check, the content of Natalie's videos aligns closely with the themes of personal development, leadership, and charisma, which are relevant to the target audience of the competitor channel. The high topic similarity indicates that her content could resonate well with viewers interested in similar subjects."
UC_Ktic72t5bDX_3go_9u_pg,Vusi Thembekwayo,https://www.youtube.com/@vthembekwayo,1140000,True,0.95,"All three videos contain clear dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. They feature conversations between hosts and guests, indicating a podcast format. Each video ends with a sign-off typical of a podcast, reinforcing the format. For example, Video 1 explicitly states 'this week's guest' and 'enjoy the episode', while Video 3 concludes with a thank you to the guest and encourages audience engagement, both of which are characteristic of podcast content.",0.6345950365066528,2,Tier 2 (Niche Competitor),False,
UCGeqHuR3eUU5tnmgjkqZazw,CXOTalk,https://www.youtube.com/@cxotalk,206000,True,0.95,"All three videos feature a conversational format with clear dialogue markers, such as 'Welcome back', 'Guest', and 'Episode'. Each video includes a host and a guest discussing topics related to AI, indicating a podcast structure. The sign-off at the end of each video reinforces this format, as they thank the guests and encourage viewers to subscribe, typical of podcast episodes.",0.6153873801231384,2,Tier 2 (Niche Competitor),False,
UCQ5mWx_XYGRbpcV8zjGhorg,Jeremy Miner,https://www.youtube.com/@jeremyminer,361000,False,0.0,"The videos primarily focus on sales training and tutorials rather than podcast content. Video 1 and Video 2 are instructional in nature, providing step-by-step guidance on sales techniques without any dialogue markers typical of podcasts. Video 3 features a conversation but lacks the structured format of a podcast, such as a clear introduction or sign-off. None of the videos contain markers like 'Welcome back', 'Guest', or 'Episode', which are essential for identifying podcast content.",0.607046902179718,2,Tier 2 (Saved by Tie-Breaker),True,"Despite failing the initial Format Check, the content of Jeremy Miner's videos focuses on sales training and techniques, which aligns closely with the competitive landscape of sales education channels. The topics discussed, such as elevator pitches and closing rates, are relevant and valuable to the target audience, indicating a strong topic similarity that suggests it could be a competitor."
UCX502l7IeiHUUlcUHQLSCaA,Emma Grede,https://www.youtube.com/@emmagrede,96700,True,0.95,"All three videos exhibit clear podcast characteristics. They contain dialogue markers such as 'Welcome back' and 'Thanks for joining me on the Aspire podcast.' The middle sections feature conversations between hosts and guests, indicating a dialogue format. The endings also include sign-offs typical of podcasts, reinforcing the format. Video 1 and Video 3 explicitly mention being a podcast, while Video 2 is a mini-episode but still follows the podcast structure.",0.6007978320121765,2,Tier 2 (Niche Competitor),False,
UC9cn0TuPq4dnbTY-CBsm8XA,a16z,https://www.youtube.com/@a16z,225000,True,0.95,"All three videos contain clear dialogue markers such as 'Welcome to the podcast' and 'Thanks for joining', indicating a conversational format typical of podcasts. Each video features discussions between hosts and guests, fulfilling the criteria for podcast content. Additionally, they all conclude with sign-offs that resemble those of a podcast, reinforcing the format.",0.5906919240951538,2,Tier 2 (Niche Competitor),False,
UCfCyFresVpOJsopvipmcVIQ,Victor Antonio,https://www.youtube.com/@victorantoniolive,228000,True,1.0,"All three videos are from the 'Sales Influence Podcast' and contain clear dialogue markers such as 'Welcome to the Sales Influence Podcast', 'I'm your host', and 'that is it for the Sales Influence Podcast'. The content is conversational in nature, with the host discussing various topics related to sales, which aligns with podcast format. Each video ends with a sign-off typical of a podcast, reinforcing that they are indeed podcast episodes.",0.5721309185028076,2,Tier 2 (Niche Competitor),False,
UCvxm0qTrGN_1LMYgUaftWyQ,Peter H. Diamandis,https://www.youtube.com/@peterdiamandis,398000,True,0.95,"All three videos contain clear dialogue markers such as 'Welcome back', 'Episode', and conversational exchanges between hosts and guests, indicating a podcast format. The content is structured around discussions rather than a narrative or tutorial style, and they conclude with sign-offs typical of podcast episodes.",0.5467634797096252,2,Tier 2 (Niche Competitor),False,
UCyAZtIT2LbUv7Q840iBXI1A,Engineering Management Institute,https://www.youtube.com/@engineeringmanagement,43900,True,0.95,"All three videos feature dialogues between a host and guests, with clear markers of a podcast format such as 'Welcome back', 'Episode', and sign-offs typical of a show. The content is conversational, focusing on interviews and discussions relevant to engineering leadership, which aligns with podcast characteristics.",0.5371387004852295,2,Tier 2 (Niche Competitor),False,
UCXl4i9dYBrFOabk0xGmbkRA,Dwarkesh Patel,https://www.youtube.com/@dwarkeshpatel,1070000,True,1.0,"All three videos feature dialogue markers such as 'Welcome back', 'Thank you for doing this', and 'Hey everybody, I hope you enjoyed that episode', indicating a conversational format typical of podcasts. Each video includes a clear conversation between hosts and guests, and they all sign off in a manner consistent with podcast episodes.",0.536890983581543,2,Tier 2 (Niche Competitor),False,
UCCKNk9Sb3H5ueNK_X9V-3yA,John Hope Bryant,https://www.youtube.com/@johnhopebryant,174000,True,0.95,"All three videos contain clear dialogue markers, such as 'Hey, hey' and 'Welcome back', indicating a conversational format. Video 1 features a discussion between John O'Brien and Toby Luki, while Video 2 and Video 3 explicitly mention being part of a podcast series. Each video ends with a sign-off typical of podcasts, reinforcing the format.",0.5310083627700806,2,Tier 2 (Niche Competitor),False,
