Tier,Reason,Seed_Channel_Name,Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Discovered_Channel_URL
-1,ERROR: Expecting value: line 3 column 987 (char 1003),Vox,J.J. McCullough,1000000,0.51800454,0.499,https://www.youtube.com/@jjmccullough
1,"Format matches: The titles are analytical video essays that explore complex topics in depth. Topic matches: The titles cover 3 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'Why the US is deporting so many people'), 'Political & Economic Commentary' (e.g., 'How the Mormon Church Made $293 Billion'), and 'Science & Technology Explained' (e.g., 'Nukes are way scarier than you think').",Vox,Johnny Harris,7130000,0.64231867,0.538,https://www.youtube.com/@johnnyharris
2,"Format matches: The titles are analytical and resemble video essays, focusing on deep explorations of complex topics. Topic matches: The candidate covers 1 of the seed's pillars, specifically 'Societal Issues & Current Events Analysis', through titles like 'The Life and Death of the American Dream' and 'How Wealth Inequality Broke the Soul of Humanity'.",Vox,The Functional Melancholic,122000,0.6455256,0.641,https://www.youtube.com/@functionalmelancholic
2,"Format matches: The titles suggest a documentary or video essay style, focusing on in-depth analysis and commentary. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'Economic Update: The Global Housing Crisis') and 'Political & Economic Commentary' (e.g., 'Unredacted Tonight: The Hidden Truth About Trump's War on Venezuela!').",Vox,Democracy At Work,559000,0.67853904,0.531,https://www.youtube.com/@democracyatwrk
2,"Format matches: The titles suggest a documentary-style format, particularly with the use of in-depth analysis and expert interviews in podcasts. Topic matches: The titles cover 2 of the seed's pillars: 'Political & Economic Commentary' and 'Societal Issues & Current Events Analysis'.",Vox,The Economist,3650000,0.61557007,0.481,https://www.youtube.com/@theeconomist
2,"Format matches: The titles are analytical and suggest a documentary/video essay style. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'The Rise of Global Populism', 'The Origins of the Israel/Palestine Conflict') and 'Political & Economic Commentary' (e.g., 'How Capitalists Conquered the World', 'Monopoly World: Oligarchy & Authoritarianism').",Vox,Then & Now,534000,0.5859796,0.517,https://www.youtube.com/@thennow
2,"Format matches: The titles suggest analytical video essays, exploring complex ideas and philosophical concepts. Topic matches: The titles cover 1 of the seed's pillars: 'Societal Issues & Current Events Analysis' through discussions on nihilism, critical thinking, and societal commentary, but do not directly address the other pillars like political commentary or science/technology.",Vox,Aperture,2430000,0.5911099,0.487,https://www.youtube.com/@aperturethinking
2,"Format matches: The titles suggest a documentary or video essay style, focusing on in-depth discussions and analyses. Topic matches: The candidate covers 2 of the seed's pillars: 'Science & Technology Explained' (e.g., AI, gene editing) and 'Societal Issues & Current Events Analysis' (e.g., the future of energy, COVID's impact on supply chains).",Vox,Freethink,1360000,0.6767226,0.511,https://www.youtube.com/@freethink
2,"Format matches: The titles suggest an analytical video essay style, focusing on in-depth discussions rather than quick news clips. Topic matches: The candidate covers 2 of the seed's pillars: 'Political & Economic Commentary' (e.g., 'Will Reform win the next UK election?', 'Is a wealth tax actually possible?') and 'Societal Issues & Current Events Analysis' (e.g., 'Is the economy causing a mental health crisis?').",Vox,Garys Economics,1500000,0.5613495,0.473,https://www.youtube.com/@garyseconomics
2,"Format matches: The titles are primarily analytical video essays and documentaries, focusing on in-depth exploration of complex topics. Topic matches: The candidate covers 2 of the seed's pillars: 'Political & Economic Commentary' (e.g., 'Inverted Totalitarianism: The Slow Death of American Democracy', 'The Deficit Myth: The Biggest Lie In Politics') and 'Societal Issues & Current Events Analysis' (e.g., 'Lessons From The Cultural Revolution', 'The Politics of Tupac Shakur').",Vox,1Dime,85600,0.56355506,0.479,https://www.youtube.com/@1dimee
2,"Format matches: The titles are analytical and resemble video essays, focusing on in-depth exploration of societal issues. Topic matches: The candidate covers 1 of the seed's pillars, specifically 'Societal Issues & Current Events Analysis', with titles addressing topics like 'The AI Psychosis Epidemic' and 'The Death Of American Community'.",Vox,Cole Hastings,806000,0.564639,0.585,https://www.youtube.com/@colehastings
2,"Format matches: The titles suggest a documentary or video essay style, focusing on in-depth analysis and commentary. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'Why Fascists Fear Teachers', 'America Wants To Keep You Stupid') and 'Political & Economic Commentary' (e.g., 'Trump, American Collapse, and Protecting Our Young People').",Vox,Ed Post,16500,0.5327461,0.521,https://www.youtube.com/@edpostvideo
2,"Format matches: The titles suggest a documentary or analytical video essay style, focusing on in-depth discussions. Topic matches: The titles cover 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'Democracy Contested: Why are governments becoming more autocratic?') and 'Political & Economic Commentary' (e.g., 'Sovereign default, IMF stabilisation and trade: Lessons from Sri Lanka').",Vox,Institute of Development Studies,10200,0.52109945,0.472,https://www.youtube.com/@ids_uk
2,"Format matches: The titles are analytical and resemble video essays, focusing on in-depth analysis of societal trends and issues. Topic matches: The candidate covers 1 of the seed's pillars, specifically 'Societal Issues & Current Events Analysis', through discussions on topics like family vlogging, influencer culture, and social media dynamics.",Vox,tiffanyferg,829000,0.54286635,0.455,https://www.youtube.com/@tiffanyferg
2,"Format matches: The titles suggest a documentary/video essay style, focusing on in-depth analysis and philosophical discussions. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'You Have No Privacy Anymore. Here's Why', 'Why We're Living in the Age of Bulls**t') and 'Political & Economic Commentary' (e.g., 'You're Being Lied to About Machiavelli').",Vox,Unsolicited advice,791000,0.5563631,0.442,https://www.youtube.com/@unsolicitedadvice9198
2,"Format matches: The titles suggest a documentary or video essay style, focusing on in-depth discussions and personal narratives. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'Gender Ideology and Protests', 'Anti-Catholicism is on the Rise') and 'Political & Economic Commentary' (e.g., 'Why is everything costing more?!', 'Who’s Running Our Country and What Hope is There Left for Us?').",Vox,CatholicVote Education,28000,0.60304725,0.501,https://www.youtube.com/@catholicvoteeducation
2,"Format matches: The titles suggest a documentary or video essay style, focusing on analytical content. Topic matches: The candidate covers 1 of the seed's pillars: 'Societal Issues & Current Events Analysis' with titles like 'How Social Media is Destroying Society'. However, the other topics primarily focus on personal development and historical anecdotes, which do not align with the seed's pillars.",Vox,Common Knowledge,10300,0.52047944,0.443,https://www.youtube.com/@commonknowledge42
2,"Format matches: The titles are primarily documentary-style and analytical, focusing on in-depth exploration of topics. Topic matches: The titles cover 2 of the seed's pillars: 'Science & Technology Explained' (e.g., 'Can AI Learn Empathy?', 'How Generative AI Is Reinventing Global Healthcare') and 'Societal Issues & Current Events Analysis' (e.g., 'The Aging Society Crisis & How We Can Fix It').",Vox,Museum of Science,786000,0.52403206,0.471,https://www.youtube.com/@museumofscience
2,"Format matches: The titles suggest an analytical video essay style, focusing on in-depth explanations of economic and financial topics. Topic matches: The candidate covers 2 of the seed's pillars: 'Political & Economic Commentary' and 'Societal Issues & Current Events Analysis'.",Vox,New Money,1070000,0.5380588,0.485,https://www.youtube.com/@newmoneyyoutube
2,"Format matches: The titles are primarily analytical video essays and deep dives, which align with the documentary style. Topic matches: The candidate covers 1 of the seed's pillars, specifically 'Cultural Trends & Analysis' through titles like 'Is Ethel Cain The NEW Lana Del Rey?' and 'Why is Modern Music SO Obsessed With Nostalgia?'. However, there is no coverage of the other pillars such as societal issues or political commentary.",Vox,FaceTatt Philosophy ,38600,0.5385202,0.461,https://www.youtube.com/@sagethis
2,"Format matches: The titles are primarily analytical and resemble documentary-style video essays. Topic matches: The candidate covers 2 of the seed's pillars: 'Science & Technology Explained' (e.g., 'The Physics of Sci-Fi Monsters', 'What We Just Found on Mars') and 'Societal Issues & Current Events Analysis' (e.g., 'What Social Media Is Doing To Gen Alpha').",Vox,StarTalk,5160000,0.47329184,0.384,https://www.youtube.com/@startalk
2,"Format matches: The titles are primarily video essays, which align with the documentary style. Topic matches: The candidate covers 1 of the seed's pillars, specifically 'Societal Issues & Current Events Analysis' through discussions on social media, culture, and identity, but does not cover the other pillars in a meaningful way.",Vox,meg,17800,0.469667,0.401,https://www.youtube.com/@normalgirlmakesclothes
2,"Format matches: The titles are primarily documentary-style and analytical, focusing on future technologies and societal implications. Topic matches: The candidate covers 1 of the seed's pillars: 'Science & Technology Explained' through titles like 'The Future of AI' and 'The Future of Quantum Computing'. However, they do not significantly address the other pillars such as 'Societal Issues & Current Events Analysis' or 'Political & Economic Commentary'.",Vox,Future Business Tech,152000,0.47039628,0.437,https://www.youtube.com/@futurebusinesstech
2,"Format matches: The titles are documentary-style and analytical, focusing on in-depth exploration of topics. Topic matches: The titles cover 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'When Will The World Run Out of Water?') and 'Science & Technology Explained' (e.g., 'How Microplastics Infiltrated Our Food').",Vox,PBS Terra,800000,0.48968813,0.474,https://www.youtube.com/@pbsterra
2,"Format matches: The titles suggest a documentary/video essay style, focusing on in-depth analysis and storytelling. Topic matches: The candidate covers 2 of the seed's pillars: 'Political & Economic Commentary' (e.g., titles about presidents and political views) and 'Societal Issues & Current Events Analysis' (e.g., discussions on civil rights and historical events).",Vox,Mr. Beat,1300000,0.5006014,0.441,https://www.youtube.com/@iammrbeat
2,"Format matches: The titles suggest analytical video essays, which align with the documentary style. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'Inherited Pain: The Science of Generational Trauma', 'Eating Disorders: Anorexia, Bulimia, and Binge Eating') and 'Political & Economic Commentary' (e.g., 'Capitalism vs. Socialism: Which Works Better?').",Vox,Sprouts,1900000,0.50015455,0.434,https://www.youtube.com/@sprouts
2,"Format matches: The titles suggest a documentary or video essay style, focusing on in-depth analysis and philosophical discussions. Topic matches: The candidate covers 1 of the seed's pillars, specifically 'Societal Issues & Current Events Analysis' through discussions on religion, existentialism, and consciousness, but does not address the other pillars like political/economic commentary or science/technology explained.",Vox,Alex O'Connor,1730000,0.49346548,0.365,https://www.youtube.com/@cosmicskeptic
2,"Format matches: The titles suggest an analytical video essay style, particularly with titles like 'How Andrew Cuomo Lost New York' and 'What Should we Do with Killer Cops?'. Topic matches: The candidate covers 1 of the seed's pillars, specifically 'Societal Issues & Current Events Analysis', as many titles address current events and societal commentary, but does not cover the other pillars in a meaningful way.",Vox,Olurinatti ,198000,0.5013084,0.433,https://www.youtube.com/@olurinatti
2,"Format matches: The titles are primarily analytical and documentary-style, focusing on in-depth exploration of various topics. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'Charlottesville: Confronting White Supremacy') and 'Science & Technology Explained' (e.g., 'The Massive Radio Telescope Searching for E.T.s').",Vox,TDC,1080000,0.50942993,0.492,https://www.youtube.com/@thedailyconversation
2,"Format matches: The titles are primarily analytical and documentary-style, focusing on in-depth explanations of climate change and environmental issues. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., climate change discussions) and 'Science & Technology Explained' (e.g., environmental science topics).",Vox,Hot Mess,99000,0.5105556,0.485,https://www.youtube.com/@hotmesspbs
2,"Format matches: The titles ('How the Economic Machine Works', 'Ray Dalio Explains Debt Cycles') are analytical video essays that delve into complex topics. Topic matches: The titles cover 1 of the seed's pillars: 'Political & Economic Commentary', focusing on economic cycles and global crises, but do not address the other pillars such as societal issues or cultural trends.",Vox,Principles by Ray Dalio,2970000,0.5181731,0.461,https://www.youtube.com/@principlesbyraydalio
2,"Format matches: The titles are analytical and resemble video essays, focusing on in-depth explanations. Topic matches: The candidate covers 2 of the seed's pillars: 'Political & Economic Commentary' and 'Societal Issues & Current Events Analysis'.",Vox,Economics Explained,2810000,0.5567162,0.502,https://www.youtube.com/@economicsexplained
2,"Format matches: The titles are analytical and resemble documentary-style video essays. Topic matches: The titles cover 1 of the seed's pillars: 'Science & Technology Explained', with several titles focusing on scientific concepts and phenomena.",Vox,Be Smart,5690000,0.47212738,0.424,https://www.youtube.com/@besmart
2,"Format matches: The titles suggest a documentary or video essay style, focusing on analytical content. Topic matches: The candidate covers 2 of the seed's pillars: 'Societal Issues & Current Events Analysis' (e.g., 'Environmental Racism', 'White Privilege') and 'Cultural Trends & Analysis' (e.g., 'Cultural Capital', 'McDonaldization').",Vox,Sociology Live!,17400,0.4552378,0.424,https://www.youtube.com/@sociologylive4343
2,"Format matches: The titles suggest an analytical video essay style, focusing on in-depth exploration of topics. Topic matches: The titles cover 1 of the seed's pillars: 'Cultural Trends & Analysis' through discussions on cultural nihilism and comedy, but do not address the other pillars like societal issues or political commentary.",Vox,Jarrett Moore,81000,0.46760023,0.379,https://www.youtube.com/@jarrettmoore6458
2,"Format matches: The titles suggest a documentary or video essay style, focusing on cultural analysis and societal observations. Topic matches: The candidate covers 2 of the seed's pillars: 'Cultural Trends & Analysis' and 'Societal Issues & Current Events Analysis', with titles addressing therapy culture, gig economy exploitation, and cultural observations.",Vox,Meditations for the anxious mind,306000,0.46850365,0.43,https://www.youtube.com/@meditationsfortheanxiousmind
3,"Format does not match: The titles suggest a focus on urgent financial warnings and market predictions, which are more aligned with news or reactive content rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around investment strategies and market forecasts, which do not align with the seed's pillars of societal issues, political commentary, science, or cultural analysis.",Vox,Investing Basics,277000,0.53636783,0.481,https://www.youtube.com/@investingbasicsyt
3,"Format does not match: The titles suggest a focus on economic commentary and analysis, but they are more reactive and news-oriented rather than documentary-style. Topic match: 1. The candidate covers 'Political & Economic Commentary', but does not address the other seed pillars such as 'Societal Issues', 'Science & Technology', or 'Cultural Trends'.",Vox,Uneducated Economist,158000,0.5340272,0.453,https://www.youtube.com/@uneducatedeconomist
3,"Format does not match: The titles are primarily live event broadcasts and speeches, indicating a focus on real-time political commentary rather than documentary-style analysis. Topic match: 1. The candidate covers 'Political & Economic Commentary', but does not address the other seed pillars such as 'Societal Issues & Current Events Analysis', 'Science & Technology Explained', or 'Cultural Trends & Analysis'.",Vox,Bernie Sanders,1160000,0.5462579,0.414,https://www.youtube.com/@berniesanders
3,"Format does not match: The titles suggest a mix of commentary and reactionary content rather than analytical video essays or documentaries. Topic match: 0. The topics primarily focus on political commentary and niche cultural discussions, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends in a comprehensive manner.",Vox,JREG,567000,0.5563092,0.49,https://www.youtube.com/@jreg
3,"Format does not match: The titles suggest a focus on opinionated commentary and political discourse rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around political commentary and personal opinions, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,Sargon of Akkad,957000,0.61539656,0.543,https://www.youtube.com/@sargonofakkad
3,"Format does not match: The titles suggest a mix of personal reflections and informal discussions rather than analytical video essays or documentaries. Topic match: 0. The topics primarily focus on personal experiences, literature, and general musings, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,vlogbrothers,4050000,0.6435554,0.533,https://www.youtube.com/@vlogbrothers
3,"Format does not match: The titles ('Why black businesses die...', 'How I Sold My Company for $7 Billion...') suggest motivational talks and business advice rather than documentary-style video essays. Topic match: 0. The topics primarily focus on personal development, entrepreneurship, and business strategies, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,Vusi Thembekwayo,1130000,0.5832883,0.496,https://www.youtube.com/@vthembekwayo
3,"Format does not match: The titles suggest a mix of commentary and opinion pieces rather than analytical video essays or documentaries. Topic match: 1. The candidate covers 'Political & Economic Commentary', but does not address the other seed pillars such as 'Societal Issues & Current Events Analysis', 'Science & Technology Explained', or 'Cultural Trends & Analysis'.",Vox,The Elsa Kurt Show,177000,0.67526054,0.534,https://www.youtube.com/@elsakurt_official
3,"Format does not match: The titles suggest a focus on sensationalized news and reactive commentary rather than analytical video essays or documentaries. Topic match: 0. The topics primarily revolve around economic crises and market speculation, which do not align with the seed's pillars of societal issues, political commentary, science, and cultural analysis.",Vox,Jack Chapple,680000,0.555384,0.525,https://www.youtube.com/@jackchappleshow
3,"Format does not match: The titles suggest a focus on personal development and interviews rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around personal relationships, stress management, and individual experiences, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,Jordan B Peterson,8820000,0.55507374,0.457,https://www.youtube.com/@jordanbpeterson
3,"Format does not match: The titles suggest a focus on sensationalist commentary and reactive content rather than analytical video essays or documentaries. Topic match: 0. The topics primarily revolve around celebrity culture, entertainment, and conspiracy theories, which do not align with the seed's pillars of societal issues, political commentary, science, and cultural analysis.",Vox,Moon,1570000,0.54074836,0.49,https://www.youtube.com/@moon-real
