Seed_Channel_Name,Seed_Channel_ID,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Keywords,Level,Timestamp,Seed_Keywords,Similarity_Score
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Live Hindi,UCHs3bWyXIw_6J0ORvg97b2w,https://www.youtube.com/@live-hindi,4220000,"business case study, rise and fall, success story, brand journey, market analysis, untold story, entrepreneurial journey, product evolution, consumer rejection, industry comparison",1,2025-10-25T21:09:35.323696,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.7
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Startup Stories,UCnyQy0wD_LCZTlyFHnKIS7Q,https://www.youtube.com/@startupstoriestv,550000,"entrepreneur stories, motivational content, lifestyle entrepreneurship, wellness trends, business success, corporate journeys, founder insights, inspirational tales, strategic decisions, emerging trends",1,2025-10-25T21:13:38.015740,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.7
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business Stories,UCkEeNJue8P7moYZm0Ptrn5A,https://www.youtube.com/@businessstoriesofficial,302000,"entrepreneur stories, brand origins, corporate success, founder journeys, business transformations, innovative entrepreneurs, historical business, personal struggles, industry pioneers, legacy building",1,2025-10-25T21:15:31.296746,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.7
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Startup Analyst,UCsD-FQbDbhwEUuX-KeJwrZQ,https://www.youtube.com/@startupanalyst,131000,"brand failures, celebrity brands, market analysis, business downfall, corporate scandals, entrepreneurial stories, reality show impact, telecom history, aviation disasters, retail trends",1,2025-10-25T21:22:29.406718,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.7
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,The India Opportunity with Shrishti Sahu,UCasyz2FJZxtaxlYdHRgXKww,https://www.youtube.com/@theindiaopportunity,35300,"entrepreneurship analysis, startup ecosystem, market potential, economic insights, investment strategies, stock market guidance, generational impact, infrastructure history, financial education, economic growth",1,2025-10-25T21:27:05.479710,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Mrwhosetheboss,UCMiJRAwDNSNzuYeN2uWa0pA,https://www.youtube.com/@mrwhosetheboss,21800000,"luxury tech, product testing, tech comparison, real vs fake, gadget reviews, smartphone analysis, experimental tech, tech challenges, innovative devices, consumer electronics",1,2025-10-25T21:31:01.202669,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Marques Brownlee,UCBJycsmduvYEL83R_U4JriQ,https://www.youtube.com/@mkbhd,20500000,"smartphone comparison, gadget testing, tech analysis, foldable devices, augmented reality, electric vehicles, product reviews, consumer electronics, mobile technology, design critique",1,2025-10-25T21:31:11.342857,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Trakin Tech,UCEPL07qzVsOcHd3sMUws65g,https://www.youtube.com/@trakintech,15400000,"smartphone launch, gadget unboxing, tech news, software features, first look, consumer electronics, mobile technology, operating system review, device comparison, upcoming devices",1,2025-10-25T21:31:32.331985,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Tech Boss,UCnKhQkCUS1oCEvjuTfU4xIw,https://www.youtube.com/@techbossindia,4910000,"smartphone comparison, gadget testing, earphone comparison, tech analysis, product worth, tech challenges, festive celebrations, tech reviews, price comparison, smart glass evaluation",1,2025-10-25T21:32:13.803609,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Tamil Tech - MrTT,UC20sXo8ReewkzNKBFgzVCPA,https://www.youtube.com/@tamiltechofficial,4310000,"smartphone comparison, gadget unboxing, camera test, tech news, power bank review, fan comparison, hybrid phone, ai features, product impressions, festival surprises",1,2025-10-25T21:32:44.278111,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
