Channel_Name,Status,Holistic_Similarity_Score,Holistic_Competitor_Score,Holistic_Audience_Overlap,Holistic_Reasoning,Audience_Match_Score,Audience_Match_Reasoning,Embedding_Score,Cand_Ideology,Cand_Format,Cand_Niche,Seed_Ideology,Seed_Format,Seed_Niche,Seed_Categories,Cand_Categories,Seed_Keywords,Cand_Keywords
ColdFusion,Success,0.6,0.2,0.7,"While both channels aim to inform their audiences, their differing ideologies and niches lead to low direct competition, though there is some audience overlap due to shared interests in learning.",0.8,"Both channels focus on cultural critique, societal issues, and the impact of technology, suggesting a strong overlap in audience interests.",0.801,Neutral/Informative,Narrative Documentary Style,Technology & Innovation Commentary,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Technology & Society, Economic & Political Analysis, Cultural Commentary","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","future of technology exposed, how tech shapes our lives, the reality of modern education, generational crisis explained, the truth about automation, crisis in capitalism, impact of innovation, financial fraud exposed, societal change through tech, wealth inequality revealed, the truth about modern life, cultural decline revealed, cultural shifts analyzed, cultural narratives challenged, disruptive technology explained, societal issues dissected, youth struggles exposed, hidden dangers of AI, economic warning signs, youth in crisis, economic collapse explained, AI implications revealed, government failures uncovered, the truth about billionaires, political corruption exposed, global economic shifts, unveiling tech monopolies, hidden economic truths, impact of social media, technology's dark side"
CGP Grey,Success,0.6,0.3,0.7,"While both channels aim to inform their audiences, Vox's progressive political focus contrasts with CGP Grey's neutral educational approach, resulting in low direct competition but a reasonable overlap in audience interest.",0.7,"Both channels focus on critical analysis of societal issues and cultural commentary, suggesting a significant overlap in audience interests.",0.626,Neutral,Animated Explainer Videos,Educational Commentary on Society and Culture,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Cultural Insights, Educational Exploration, Critical Analysis of Systems","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","discover fascinating truths, exploring societal trends, facts you didn't know, decoding everyday life, understanding cultural symbols, exploring governance, revealing systemic issues, unpacking economic systems, hidden meanings revealed, critical thinking in action, examining political structures, unpacking social phenomena, cultural norms explained, learning made fun, knowledge unlocked, insights into human behavior, society's quirks uncovered, cultural commentary, engaging educational content, educational insights, insights into public policy, explore the unknown, knowledge is power, curiosity-driven learning, analyzing societal structures, understanding complex systems, system flaws exposed"
VICE News,Success,0.8,0.3,0.7,"While both channels focus on political and social themes, their differing ideologies and formats lead to a lower direct competition score, though they share a similar audience interested in informed commentary.",0.7,"Both channels focus on cultural and political critique, addressing societal issues and the impact of technology, which aligns well with the interests of Vox's audience.",0.807,Independent & Critical,Interview Podcast (High Production),Investigative Journalism & Cultural Commentary,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Investigative Insights, Cultural & Political Critique, Future & Technology Discussions","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","society's dark side, unmasking deception, truth uncovered, unpacking misinformation, emerging trends analyzed, technology's impact on society, political narratives challenged, future of humanity explored, social issues dissected, deep dive analysis, political truths unveiled, confronting societal norms, controversial truths exposed, future crises predicted, challenging mainstream narratives, healthcare innovations revealed, unfiltered interviews, investigative journalism, cultural crises revealed, disruptive technologies discussed, truth behind the headlines, shocking revelations, political corruption exposed, cultural commentary, quantum computing explained, space race insights, truth-seeking conversations, scientific breakthroughs examined, AI ethics debated, hidden agendas revealed"
The Atlantic,Success,0.9,0.8,0.85,"Both channels focus on political commentary with in-depth formats and share a similar target audience, though Vox leans more progressive while The Atlantic is moderate to progressive.",0.7,"Both channels focus on cultural critique and social issues, with overlapping themes such as the impact of technology on society and political commentary, suggesting a strong alignment in audience interests.",0.823,Moderate to Progressive,In-Depth Discussions and Interviews,Political & Cultural Commentary,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Political Analysis & Commentary, Cultural Critique & Social Issues, Current Events & Global Affairs","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","impact of technology on society, women's rights in sports, modern parenting challenges, election integrity discussions, narratives of resilience, arts and society discussions, power dynamics explained, government accountability, identity and belonging explorations, immigration stories and insights, international relations analysis, political violence revealed, impact of media on democracy, historical perspectives on freedom, civic engagement strategies, historical lessons for today, emerging global challenges, nuclear threat awareness, urgent political insights, truth behind the headlines, political strategy breakdown, future of democracy discussions, political corruption exposed, cultural commentary, voting rights advocacy, government overreach concerns, global political tensions, social justice movements, cultural shifts in America, human rights advocacy"
NowThis World,Success,0.8,0.7,0.85,"Both channels share a progressive ideology and focus on political and social issues, but differ in format and intent, with Vox providing in-depth commentary and NowThis World focusing on short-form news analysis.",0.7,"Both channels focus on social issues and political commentary, with overlapping themes of cultural critique and advocacy for change, making them likely appealing to a similar audience.",0.637,Progressive,Short-Form News Analysis,Political & Social Issues Commentary,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Social Justice Advocacy, Political Commentary, Cultural Conversations","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","discuss societal norms, highlight systemic issues, encourage critical thinking, amplify underrepresented stories, empower marginalized voices, challenge authoritarianism, expose political lies, raise awareness on issues, dissect political rhetoric, share personal stories, critique government policies, debunk political myths, address mental health stigma, defend human rights, explore cultural impacts, advocate for change, promote inclusivity, confront political corruption, analyze election integrity, navigate identity politics, call out hypocrisy, debate controversial topics, fight for rights, mobilize for equality, challenge the status quo, uncover the truth, foster community dialogue, speak out against oppression, stand against injustice, understand intersectionality"
Johnny Harris,Success,0.8,0.2,0.7,"While both channels focus on informing their audiences, Vox's progressive ideology contrasts with Johnny Harris's neutral stance, leading to low direct competition despite similarities in format and target audience.",0.7,"Both channels focus on critical societal issues, technology's impact, and cultural narratives, suggesting a strong overlap in audience interests.",0.727,Neutral/Fact-based,Documentary-style Analysis,Investigative Journalism,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Global Issues & Investigations, Cultural & Historical Insights, Technology & Future Trends","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","forgotten history uncovered, unveiling historical narratives, exposing corporate greed, AI ethics explained, hidden truths revealed, how technology shapes politics, understanding nationalism, the truth about surveillance, truth about immigration, uncovering tech conspiracies, the reality of space warfare, technology's dark side revealed, future of global conflicts, historical conspiracies exposed, economic inequality explained, the real story behind, cultural myths debunked, deception in politics, future of warfare exposed, historical truths revealed, truth behind military spending, unmasking powerful institutions, myths of modern society, the rise of digital warfare, global crisis exposed, war secrets unveiled, AI's impact on society, uncovering corruption, the truth about religion, cultural conflicts explained"
Veritasium,Success,0.5,0.1,0.6,"While both channels aim to inform their audiences, their differing ideologies and niches lead to low direct competition, though there is some audience overlap due to the informative nature of their content.",0.6,"Both channels explore the impact of technology on society, but Vox focuses more on cultural critique and social issues, while Veritasium emphasizes educational insights and scientific exploration.",0.69,Neutral,Informative Documentary Style,Science & Education,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Scientific Exploration, Educational Insights, Technological Innovations","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","impact of technology on society, cutting-edge science, dangerous discoveries, innovative materials, learn something new, transformative inventions, educational documentaries, expand your knowledge, hidden truths in science, scientific breakthroughs, exploring the unknown, insightful science lessons, decoding natural phenomena, revolutionary discoveries, exploring new frontiers, understanding math paradoxes, understanding complex theories, future of technology, mind-bending physics, engineering marvels, exploring evolution, science and technology, engaging educational content, science explained, critical thinking skills, curiosity-driven learning, revealing misconceptions, AI breakthroughs, uncovering the truth, science made simple"
AJ+,Success,0.8,0.7,0.85,"Both channels share a progressive ideology and focus on social issues, but differ in format and intent, with Vox providing in-depth commentary and AJ+ focusing on documentary-style reporting.",0.6,"Both channels focus on social issues and political commentary, but AJ+ emphasizes human rights and activism, which may appeal to a subset of Vox's audience interested in cultural critique and societal impact.",0.682,Progressive & Humanitarian,Documentary-style Reporting,Global News & Human Rights Advocacy,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Human Rights Violations, Political Commentary & Analysis, Cultural Insights & Social Issues","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","community struggles highlighted, government complicity revealed, social movements analyzed, human suffering in conflict, end the occupation, power dynamics explained, cultural heritage at risk, debt as a weapon, call to action for peace, impact of colonialism, genocide exposed, political hypocrisy exposed, survivor stories, economic exploitation revealed, hidden agendas in politics, truth about foreign policy, global solidarity in action, international relations scrutinized, cultural identity challenged, stories of resilience, media bias uncovered, uncovering war crimes, humanitarian crisis revealed, truth about Gaza, colonialism critique, voices from the oppressed, systemic injustice, activism for justice, identity politics examined, youth activism spotlighted"
Wired,Success,0.7,0.3,0.6,"While both channels focus on expert interviews and analysis, their differing ideologies and niches lead to a low direct competition score, though there is some audience overlap due to shared interests in informed commentary.",0.6,"Both channels explore the impact of technology on society, but Wired's focus on conspiracy and celebrity culture may not fully align with Vox's emphasis on social issues and cultural critique.",0.758,Neutral,Expert Interviews & Analysis,Technology & Cultural Insights,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Tech & Future Insights, Cultural Commentary & Analysis, Conspiracy & Investigative Insights","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","impact of technology on society, behind the scenes of fame, celebrity secrets revealed, data breaches exposed, cultural impact of media, how technology shapes culture, hidden truths revealed, advancements in AI, digital age challenges, celebrity insights, dark web insights, conspiracy theories debunked, celebrity interviews, cultural trends explained, exploring the unknown, future of technology, technology explained, investigative journalism, understanding tech jargon, truth behind the headlines, exploring folklore, emerging tech trends, pop culture phenomena, data privacy concerns, cultural commentary, understanding conspiracy culture, investigating misinformation, understanding modern myths, tech innovations, uncovering secrets"
Kurzgesagt,Success,0.5,0.1,0.4,"The channels have different ideologies and intents, making them antagonists; however, they share a similar format of informative content, which may attract a small overlap in their audiences.",0.6,"Both channels explore complex societal issues and existential questions, suggesting a shared audience interested in deep analysis and understanding of the human experience.",0.73,Optimistic Nihilism,Animated Explainer Videos,Science & Education,Progressive,In-depth Commentary & Interviews,Political & Social Analysis,"Social Issues & Political Commentary, Cultural Critique & Technology","Science Exploration, Existential Questions, Health & Society","impact of technology on society, memory remaking the past, sports betting consequences, sports gambling risks, rural healthcare crisis, hopeful pessimism discussion, New Right explained, climate fight strategies, emergency services crisis, college education challenges, telehealth for rural America, civil conflict warning, cultural obsession with hope, wealth inequality solutions, probiotic yogurt gimmick, climate change confusion, understanding civil wars, TikTok control revealed, digital surveillance issues, political extremism insights, ghost towns history, future of thrifting, independent theaters survival, internet decline analysis, human extinction scenarios, climate change solutions, truth about free speech, AI and education debate, billionaires impact, economic theories of Trumpism","surviving the universe, life's big questions, the impact of technology, health myths debunked, finding joy in chaos, unlocking the universe, understanding reality, what if scenarios, discovering the impossible, curiosity sparked, the human experience, exploring the unknown, facing the end, social issues explored, the wonders of nature, mental health awareness, science made fun, mind-blowing facts, optimistic science, the absurdity of life, the truth about addiction, navigating modern life, understanding health risks, human behavior explained, embracing nihilism, the meaning of existence, the science of well-being, society's challenges, life's mysteries unveiled, science explained simply"
